model,method,label,mass_bin,left_msun,right_msun,M0_mean_msun,M0_geomean_msun,n_halos_total,n_halos,selected_fraction,zhalf,zhalf_median,zhalf_q16,zhalf_q84,z_bk09_original,z_coco_hellwing16,dz_bk09_original,dz_coco_hellwing16
PL,gap_5,gap <= 5,12,15848931924.611141,25118864315.095818,19839006726.801853,19664258562.69051,1310,1288,0.983206106870229,1.7816194343024094,1.7343253109457573,0.989054088188239,2.551807588930829,1.830364666412612,1.700102098683133,-0.04874523211020265,0.08151733561927643
PL,gap_5,gap <= 5,13,25118864315.095818,39810717055.34974,31508549494.302986,31226658479.428352,844,832,0.985781990521327,1.6986477129412405,1.638905366168411,0.9151736336920433,2.424290631543828,1.7575998463798803,1.6062176836068573,-0.05895213343863981,0.09243002933438316
PL,gap_5,gap <= 5,14,39810717055.34974,63095734448.01936,49677958677.66179,49248090458.91855,598,591,0.9882943143812709,1.6214380472573382,1.5744482978522965,0.9060454971377077,2.292825177140974,1.6878111243086749,1.5170041660989688,-0.06637307705133666,0.10443388115836938
PL,gap_5,gap <= 5,15,63095734448.01936,100000000000.0,78425672843.928,77754490849.71939,359,355,0.9888579387186629,1.5445683082522796,1.494418717000418,0.7879894575116339,2.2212298283281084,1.6195986989936193,1.4306050968331618,-0.07503039074133966,0.1139632114191178
PL,gap_5,gap <= 5,16,100000000000.0,158489319246.11142,125310599258.97751,124248010841.32649,271,267,0.985239852398524,1.4977350268258403,1.500397068475042,0.9430014893249327,2.0139795846367203,1.551385318960988,1.3450083497008882,-0.053650292135147826,0.15272667712495203
PL,gap_5,gap <= 5,17,158489319246.11142,251188643150.9582,195082218089.31128,193546445162.0786,153,150,0.9803921568627451,1.4264694163322198,1.417793314857963,0.7634587970086433,1.9223793551436867,1.4885909077986872,1.2669336428498328,-0.06212149146646739,0.159535773482387
PL,gap_5,gap <= 5,18,251188643150.9582,398107170553.4973,311396865697.4253,308821583256.46716,106,105,0.9905660377358491,1.3503246847699977,1.41704692001421,0.6146580533102738,1.9310161016313254,1.4239249789829032,1.1872676086418519,-0.07360029421290548,0.1630570761281458
PL,gap_5,gap <= 5,19,398107170553.4973,630957344480.1936,501579399094.2142,497691210832.2192,80,78,0.975,1.2320835111835642,1.1427572685276361,0.5007207911975033,1.8418274782923503,1.359737211565518,1.1089412149305682,-0.12765370038195378,0.123142296252996
PL,gap_5,gap <= 5,20,630957344480.1936,1000000000000.0,821848258098.5312,815968145434.4486,53,51,0.9622641509433962,1.2373764147000745,1.296269861963905,0.7088059021894022,1.652856210164589,1.295038611468263,1.0307614016931486,-0.05766219676818851,0.20661501300692597
PL,all_gaps,all gaps,1,100000000.0,158489319.24611133,125172007.14156845,124070305.06386745,111004,101445,0.9138859860905914,2.593995002698213,2.318473796498984,1.2250369926823315,3.9180469406875074,2.7644636634161617,2.9781500367061944,-0.17046866071794886,-0.38415503400798157
PL,all_gaps,all gaps,2,158489319.24611133,251188643.15095794,198281424.16987607,196493427.46570653,77426,75575,0.9760933019915791,2.604449216004286,2.3435799207073265,1.2757188228443994,3.8912563651291627,2.668223488798747,2.8405938786376312,-0.06377427279446124,-0.23614466263334544
PL,all_gaps,all gaps,3,251188643.15095794,398107170.5534973,315161769.96350956,312422376.81157714,51822,50710,0.9785419319979931,2.531657421155839,2.288343489889102,1.277896718876908,3.7373977396130296,2.573759542036986,2.7068297981372953,-0.04210212088114673,-0.17517237698145616
PL,all_gaps,all gaps,4,398107170.5534973,630957344.4801933,498862037.35783833,494415690.30405426,35056,34294,0.9782633500684619,2.464231275270534,2.2350007260382965,1.2571000488355604,3.589683844009151,2.4825428281026314,2.578862027386427,-0.018311552832097178,-0.11463075211589269
PL,all_gaps,all gaps,5,630957344.4801933,999999999.9999999,790662522.2138416,783707316.9328346,23258,22743,0.9778570814343451,2.3797529435306486,2.1796762577866016,1.243725352089649,3.4661412578011763,2.3934063156029097,2.4549688600820705,-0.013653372072261138,-0.0752159165514219
PL,all_gaps,all gaps,6,999999999.9999999,1584893192.461114,1251491316.7336862,1240541573.5574093,15701,15372,0.9790459206419974,2.2782912853469988,2.1207183266883716,1.2059122045638933,3.250964365021615,2.306797330056125,2.33570188852511,-0.02850604470912632,-0.05741060317811142
PL,all_gaps,all gaps,7,1584893192.461114,2511886431.5095806,1980284945.3298624,1963285969.5292907,9949,9774,0.9824102924917077,2.1954301647048653,2.0482217547572956,1.1791876769241278,3.1352563747185056,2.2224560065878043,2.2206296931937057,-0.027025841882938995,-0.02519952848884044
PL,all_gaps,all gaps,8,2511886431.5095806,3981071705.534973,3143388880.268575,3116001803.5052714,6848,6718,0.9810163551401869,2.1243200529982427,1.984090021445164,1.1360875556447896,3.032417874525015,2.1397079452176895,2.108776533659662,-0.015387892219446808,0.01554351933858067
PL,all_gaps,all gaps,9,3981071705.534973,6309573444.801932,4965625119.390717,4922645526.046941,4496,4425,0.9842081850533808,2.0479504862815654,1.9237797183719771,1.1077174554454563,2.9025938202620836,2.059915499767406,2.0019154432471815,-0.011965013485840448,0.04603504303438388
PL,all_gaps,all gaps,10,6309573444.801932,10000000000.0,7885504375.198541,7817164176.581757,3000,2951,0.9836666666666667,1.9518139265273,1.8304909512839544,1.0312924845123275,2.797305991720734,1.9812696999754738,1.897563789284654,-0.02945577344817374,0.054250137242646046
PL,all_gaps,all gaps,11,10000000000.0,15848931924.611141,12519889513.7622,12410146158.273867,1937,1893,0.977284460505937,1.8515295892990336,1.7522208334037594,0.9923115651566428,2.635046093532834,1.904677079674768,1.796881219006567,-0.05314749037573452,0.0546483702924665
PL,all_gaps,all gaps,12,15848931924.611141,25118864315.095818,19842944290.504017,19668021390.761486,1310,1292,0.9862595419847329,1.7831994093129016,1.7352746173539122,0.9916347328126718,2.5528011985059362,1.8303330426940785,1.700061106325394,-0.04713363338117693,0.08313830298750746
PL,all_gaps,all gaps,13,25118864315.095818,39810717055.34974,31508549494.302986,31226658479.428352,844,832,0.985781990521327,1.6986477129412405,1.638905366168411,0.9151736336920433,2.424290631543828,1.7575998463798803,1.6062176836068573,-0.05895213343863981,0.09243002933438316
PL,all_gaps,all gaps,14,39810717055.34974,63095734448.01936,49677958677.66179,49248090458.91855,598,591,0.9882943143812709,1.6214380472573382,1.5744482978522965,0.9060454971377077,2.292825177140974,1.6878111243086749,1.5170041660989688,-0.06637307705133666,0.10443388115836938
PL,all_gaps,all gaps,15,63095734448.01936,100000000000.0,78425672843.928,77754490849.71939,359,355,0.9888579387186629,1.5445683082522796,1.494418717000418,0.7879894575116339,2.2212298283281084,1.6195986989936193,1.4306050968331618,-0.07503039074133966,0.1139632114191178
PL,all_gaps,all gaps,16,100000000000.0,158489319246.11142,125310599258.97751,124248010841.32649,271,267,0.985239852398524,1.4977350268258403,1.500397068475042,0.9430014893249327,2.0139795846367203,1.551385318960988,1.3450083497008882,-0.053650292135147826,0.15272667712495203
PL,all_gaps,all gaps,17,158489319246.11142,251188643150.9582,195082218089.31128,193546445162.0786,153,150,0.9803921568627451,1.4264694163322198,1.417793314857963,0.7634587970086433,1.9223793551436867,1.4885909077986872,1.2669336428498328,-0.06212149146646739,0.159535773482387
PL,all_gaps,all gaps,18,251188643150.9582,398107170553.4973,311396865697.4253,308821583256.46716,106,105,0.9905660377358491,1.3503246847699977,1.41704692001421,0.6146580533102738,1.9310161016313254,1.4239249789829032,1.1872676086418519,-0.07360029421290548,0.1630570761281458
PL,all_gaps,all gaps,19,398107170553.4973,630957344480.1936,501579399094.2142,497691210832.2192,80,78,0.975,1.2320835111835642,1.1427572685276361,0.5007207911975033,1.8418274782923503,1.359737211565518,1.1089412149305682,-0.12765370038195378,0.123142296252996
PL,all_gaps,all gaps,20,630957344480.1936,1000000000000.0,821848258098.5312,815968145434.4486,53,51,0.9622641509433962,1.2373764147000745,1.296269861963905,0.7088059021894022,1.652856210164589,1.295038611468263,1.0307614016931486,-0.05766219676818851,0.20661501300692597
