model,method,label,mass_bin,left_msun,right_msun,M0_mean_msun,M0_geomean_msun,n_halos_total,n_halos,selected_fraction,zhalf,zhalf_median,zhalf_q16,zhalf_q84,z_bk09_original,z_coco_hellwing16,dz_bk09_original,dz_coco_hellwing16
PL,gap_1,gap <= 1,8,2511886431.5095806,3981071705.534973,3144741708.595641,3117283060.005201,6848,6044,0.8825934579439252,1.9465032177563182,1.8873985995326434,1.0771504716313,2.76857944282925,2.1396318874586964,2.1086742055548044,-0.1931286697023782,-0.16217098779848627
PL,gap_1,gap <= 1,9,3981071705.534973,6309573444.801932,4966550399.391277,4923651561.108785,4496,4012,0.8923487544483986,1.9088621045694072,1.8621671546505816,1.049502349828453,2.724356387936055,2.0598834020361156,2.0018726558782727,-0.15102129746670845,-0.09301055130886549
PL,gap_1,gap <= 1,10,6309573444.801932,10000000000.0,7876030386.213235,7807459165.878534,3000,2693,0.8976666666666666,1.8248760214506967,1.7565126780291855,1.0076859452197007,2.656182395606875,1.9814714849281772,1.897830278004359,-0.15659546347748043,-0.07295425655366228
PL,gap_1,gap <= 1,11,10000000000.0,15848931924.611141,12502265329.587345,12393334201.243296,1937,1748,0.9024264326277749,1.7349648205477015,1.6970699878996598,0.9677976971808109,2.4668689703562454,1.9049074560057235,1.7971826398228314,-0.16994263545802202,-0.062217819275129926
PL,gap_1,gap <= 1,12,15848931924.611141,25118864315.095818,19890642709.656784,19714149627.431976,1310,1193,0.9106870229007633,1.694119177947318,1.6794867493192636,0.9542603973057122,2.418629966546748,1.8299504884703839,1.6995652320692791,-0.13583131052306596,-0.005446054121961197
PL,gap_1,gap <= 1,13,25118864315.095818,39810717055.34974,31476456392.370167,31198615004.041058,844,775,0.9182464454976303,1.6160292533658145,1.587917321353242,0.8904732862254358,2.3332820626639226,1.7577580646581206,1.6064208695248925,-0.14172881129230608,0.009608383840921997
PL,gap_1,gap <= 1,14,39810717055.34974,63095734448.01936,49621855275.85366,49183327810.18798,598,557,0.931438127090301,1.5594024034744465,1.526561046228971,0.8671425864047299,2.214590452406156,1.687982122595292,1.5172217541003383,-0.12857971912084554,0.04218064937410815
PL,gap_1,gap <= 1,15,63095734448.01936,100000000000.0,78511477249.1581,77834869758.6788,359,333,0.9275766016713092,1.4629463090464336,1.4548095425931944,0.7622330870535647,2.1302706751170266,1.6194374326812708,1.4304017808423675,-0.1564911236348372,0.03254452820406617
PL,gap_1,gap <= 1,16,100000000000.0,158489319246.11142,125121459809.47119,124051501485.51265,271,258,0.9520295202952029,1.4627375940693983,1.4617806913492846,0.9054503225389324,1.9794482384931253,1.5516023017006138,1.3452793396575942,-0.08886470763121546,0.11745825441180413
PL,gap_1,gap <= 1,17,158489319246.11142,251188643150.9582,194519812102.8196,192994685655.42715,153,145,0.9477124183006536,1.3635185389206428,1.3762486697674645,0.7618540360276749,1.8863737109927712,1.488995442910134,1.2674343770147636,-0.12547690398949118,0.0960841619058792
PL,gap_1,gap <= 1,18,251188643150.9582,398107170553.4973,310657150424.98303,308142078996.11237,106,104,0.9811320754716981,1.3569107310240358,1.418154450426529,0.6123554762396131,1.9327800405046487,1.424249560161169,1.1876655962522915,-0.0673388291371333,0.1692451347717443
PL,gap_1,gap <= 1,19,398107170553.4973,630957344480.1936,500879211170.7224,496981520056.42975,80,77,0.9625,1.2207495637412544,1.128935663389739,0.4971548748175261,1.8150267021521498,1.3599228070245495,1.1091666011439276,-0.13917324328329506,0.1115829625973268
PL,gap_1,gap <= 1,20,630957344480.1936,1000000000000.0,821848258098.5312,815968145434.4486,53,51,0.9622641509433962,1.2373764147000745,1.296269861963905,0.7088059021894022,1.652856210164589,1.295038611468263,1.0307614016931486,-0.05766219676818851,0.20661501300692597
PL,gap_2,gap <= 2,1,100000000.0,158489319.24611133,125132249.31675194,124031770.78983282,111004,96909,0.8730225937804043,2.4732504077355184,2.2561485597209376,1.1992217373384009,3.7109687437203793,2.764530992044712,2.978246715728781,-0.29128058430919346,-0.5049963079932627
PL,gap_2,gap <= 2,2,158489319.24611133,251188643.15095794,198250378.7326416,196462567.35124552,77426,71857,0.928073257045437,2.4773455780983986,2.2700639411967174,1.243338867822764,3.659855839893466,2.668255826999238,2.840639884393904,-0.19091024890083919,-0.3632943062955052
PL,gap_2,gap <= 2,3,251188643.15095794,398107170.5534973,315163386.28408915,312423421.95377624,51822,48189,0.9298946393423643,2.406976509420538,2.2231596796115665,1.2478360493965133,3.539837372958495,2.5737585101633464,2.7068283438277527,-0.16678200074280847,-0.29985183440721475
PL,gap_2,gap <= 2,4,398107170.5534973,630957344.4801933,498984470.17360586,494532970.8638189,35056,32699,0.9327647193062528,2.34907007599188,2.184000382941762,1.2331893194479284,3.4138040466489152,2.4824947147129572,2.57879484330117,-0.13342463872107713,-0.22972476730928992
PL,gap_2,gap <= 2,5,630957344.4801933,999999999.9999999,790643013.9451506,783687313.0496279,23258,21641,0.9304755352996819,2.2692337870285773,2.1310943138250025,1.2242299687416607,3.2683398381821593,2.393411029471736,2.454975381453182,-0.12417724244315886,-0.1857415944246048
PL,gap_2,gap <= 2,6,999999999.9999999,1584893192.461114,1251071014.5868552,1240094911.4731374,15701,14663,0.9338895611744474,2.1774529298115475,2.073842436121007,1.1815290368648834,3.1105085381437294,2.306859865578856,2.335787604338493,-0.12940693576730844,-0.15833467452694538
PL,gap_2,gap <= 2,7,1584893192.461114,2511886431.5095806,1979682897.6098485,1962709800.4825444,9949,9353,0.9400944818574731,2.1116680360374085,2.0058667398546706,1.1606871552560196,3.0122490576293632,2.222511172190211,2.22070460953073,-0.11084313615280239,-0.10903657349332141
PL,gap_2,gap <= 2,8,2511886431.5095806,3981071705.534973,3143918373.2736897,3116474797.290041,6848,6427,0.9385221962616822,2.029252020903962,1.935980863872797,1.1041950584172215,2.891014431591457,2.139678172318476,2.1087364770967265,-0.11042615141451373,-0.07948445619276434
PL,gap_2,gap <= 2,9,3981071705.534973,6309573444.801932,4969261409.71364,4926269743.285694,4496,4242,0.9435053380782918,1.9738374439386959,1.8945464696592036,1.078426084701717,2.7955116901484747,2.059789394120849,2.0017473410522624,-0.08595195018215329,-0.027909897113566506
PL,gap_2,gap <= 2,10,6309573444.801932,10000000000.0,7881687613.177465,7813473653.016238,3000,2848,0.9493333333333334,1.8952988760399532,1.8030266007660793,1.026420417870496,2.7336655340030203,1.9813509617515743,1.8976711074435921,-0.08605208571162115,-0.002372231403638958
PL,gap_2,gap <= 2,11,10000000000.0,15848931924.611141,12517024969.96172,12407556510.250368,1937,1817,0.9380485286525555,1.781636391208383,1.7172470019571995,0.9761428230480057,2.5550679839707233,1.9047145005300123,1.7969301792893888,-0.12307810932162933,-0.015293788081005788
PL,gap_2,gap <= 2,12,15848931924.611141,25118864315.095818,19855458134.107376,19679819626.65272,1310,1240,0.9465648854961832,1.732093219439353,1.7013472621420584,0.9797741342892001,2.461946699934499,1.8302325843692104,1.6999308879542987,-0.09813936492985742,0.03216233148505432
