model,model_label,snap_current,snap_next,z_current,z_next,z_mid,dt_yr,mass_bin_left_msun,mass_bin_right_msun,mass_bin_center_msun,n_halos,mean_mass_current_msun,median_mass_current_msun,mean_dM200c_dt_msun_yr,median_dM200c_dt_msun_yr,std_dM200c_dt_msun_yr,sem_dM200c_dt_msun_yr,p16_dM200c_dt_msun_yr,p84_dM200c_dt_msun_yr,negative_fraction,correa2015_mean_dMdt_msun_yr,mean_over_correa
BT_soft,BT kp=1,43,44,2.3366495611022704,2.0333177828202462,2.184983671961258,420541460.5202637,316000000.0,1000000000.0,562138772.9022079,164371,538619105.0183698,487985685.46772003,0.07217558879574186,0.04565267434729697,0.20460879673372323,0.0005046748965985357,-0.027505487154032005,0.1488393493446868,0.2535057887340224,0.26292424106822604,0.2745109713067996
BT_soft,BT kp=1,43,44,2.3366495611022704,2.0333177828202462,2.184983671961258,420541460.5202637,1000000000.0,3160000000.0,1777638883.4631178,58007,1697148320.2469556,1537115722.8946686,0.2843257341640766,0.1682318744189566,0.7004739383128386,0.0029083842159624883,-0.04868152131906199,0.526998049342262,0.20595790163256159,0.8284545236580995,0.3432001709745228
BT_soft,BT kp=1,43,44,2.3366495611022704,2.0333177828202462,2.184983671961258,420541460.5202637,3160000000.0,10000000000.0,5621387729.0220785,20208,5363429881.918436,4865850657.224655,1.0891239950848677,0.6089587434302679,2.516116381880063,0.017699828515879718,-0.12462013190485147,1.9555663840615545,0.19244853523357086,2.618131659436691,0.4159928287636994
BT_soft,BT kp=1,43,44,2.3366495611022704,2.0333177828202462,2.184983671961258,420541460.5202637,10000000000.0,31600000000.0,17776388834.631176,6762,16973709923.492596,15399070382.118225,4.333757191620213,2.3043817756905107,9.23461553782825,0.11230038265175016,-0.2988296139793212,7.625195979205363,0.1847086660751257,8.285632199389402,0.5230448428473066
BT_soft,BT kp=1,43,44,2.3366495611022704,2.0333177828202462,2.184983671961258,420541460.5202637,31600000000.0,100000000000.0,56213877290.22079,2187,53754212946.77623,48552308082.58057,15.54674790676457,7.860619760291429,32.99788295680692,0.705605059548157,-1.541584891133612,27.652972264868495,0.1906721536351166,26.239852080198546,0.592486110792395
BT_soft,BT kp=1,43,44,2.3366495611022704,2.0333177828202462,2.184983671961258,420541460.5202637,100000000000.0,316000000000.0,177763888346.31177,649,169060959220.85098,151096611022.94922,64.99998178989885,33.183777888822185,117.68718512798682,4.6196261068679405,-4.850153842420884,125.49547915731092,0.18181818181818182,82.52626760406608,0.7876277902418587
BT_soft,BT kp=1,43,44,2.3366495611022704,2.0333177828202462,2.184983671961258,420541460.5202637,316000000000.0,1000000000000.0,562138772902.2078,166,507191936998.48224,448530483245.8496,285.32526128406715,161.18359791991585,450.35619653348033,34.95441986945653,5.67266208819957,479.6876891800468,0.14457831325301204,247.58322508203904,1.1524418150281464
BT_soft,BT kp=1,44,45,2.0333177828202462,1.7575616207456761,1.8954397017829612,480151358.9503279,100000000.0,316000000.0,177763888.34631178,143330,242365070.3928922,237454595.04425526,0.020383535468186685,0.014510804511243426,0.07143512704203006,0.00018868756109708865,-0.018693640791964734,0.05319957850605307,0.32011442126561085,0.09314066137227779,0.21884679760555792
BT_soft,BT kp=1,44,45,2.0333177828202462,1.7575616207456761,1.8954397017829612,480151358.9503279,316000000.0,1000000000.0,562138772.9022079,158922,538754823.3962722,487665068.3581829,0.05566583291329829,0.03539500678130189,0.17373682912580476,0.0004358126981122175,-0.026120099064675197,0.11803453977375614,0.2664766363373227,0.20704295584874474,0.2688612741501091
BT_soft,BT kp=1,44,45,2.0333177828202462,1.7575616207456761,1.8954397017829612,480151358.9503279,1000000000.0,3160000000.0,1777638883.4631178,56543,1697160354.500085,1535733789.2055511,0.21990620503449151,0.1335042816470735,0.5803523212970991,0.002440632006490622,-0.04702428819962322,0.4142236868425191,0.2142086553596378,0.6522170773894784,0.33716719886371843
BT_soft,BT kp=1,44,45,2.0333177828202462,1.7575616207456761,1.8954397017829612,480151358.9503279,3160000000.0,10000000000.0,5621387729.0220785,19807,5372590459.463796,4866074025.630951,0.8370396727911378,0.4781007666901969,1.9832436684440617,0.014091808271246991,-0.13788854682610957,1.522817982202574,0.20316049881355078,2.0646813002618343,0.4054086568638888
BT_soft,BT kp=1,44,45,2.0333177828202462,1.7575616207456761,1.8954397017829612,480151358.9503279,10000000000.0,31600000000.0,17776388834.631176,6662,16939611474.661022,15412643551.826477,3.3195758449836914,1.8248764105203332,7.105231906165121,0.08705143670785138,-0.4120026240787842,5.985912517045781,0.19423596517562294,6.509876252306793,0.5099291778100068
BT_soft,BT kp=1,44,45,2.0333177828202462,1.7575616207456761,1.8954397017829612,480151358.9503279,31600000000.0,100000000000.0,56213877290.22079,2225,53388401422.607765,48071641921.99707,12.339666386918424,6.638489954100293,25.30457344262984,0.5364558840730573,-1.2960924613461402,22.598282487773297,0.19415730337078652,20.517110861104406,0.6014329439683204
