model,label,method,method_label,mass_bin,mass_bin_left_msun,mass_bin_right_msun,M0_mean_msun,M0_geomean_msun,snap_left,snap_right,z_left,z_right,z_mid,a_mid,n_halos,Gamma_median,Gamma_q16,Gamma_q84,Gamma_mean,negative_fraction,particle_mass_code,particle_mass_msun
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124494332.3848492,123385868.33237971,46,47,1.506874200677888,1.2789765460708074,1.3902107662913137,0.4183731468801033,164515,0.1930315919719701,0.0,1.5452256091090215,0.7736009432591331,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124424328.82291605,123316709.15573776,47,48,1.2789765460708074,1.0717968600643704,1.1729188784466489,0.4602104615681135,164558,0.0,0.0,1.3057772824811646,0.6544338861413427,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124406330.9238362,123297679.7994094,48,49,1.0717968600643704,0.8834516909676096,0.9753807985878624,0.506231507724925,164155,0.0,0.0,1.1275075207887997,0.5675098216602295,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124372119.45560236,123262754.3046208,49,50,0.8834516909676096,0.7122288099705543,0.7958007259889663,0.5568546584974173,162973,0.3060235706931916,0.0,1.4786156259641634,0.7695660240803692,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124353177.00292636,123243883.999848,50,51,0.7122288099705543,0.5565716454277756,0.6325461145354234,0.6125401243471593,161176,0.0,0.0,1.1092167129378103,0.5827797513273724,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124347233.66229276,123237729.9676418,51,52,0.5565716454277756,0.4150651322070684,0.4841328313958388,0.6737941367818755,158711,0.251954892630212,0.0,1.291292939126751,0.6974805751839065,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124321284.05605116,123212940.57055594,52,53,0.4150651322070684,0.2864228474609716,0.3492116649053081,0.7411735504600631,155992,0.0,0.0,0.948668548398537,0.511722767265065,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124306096.3230746,123197803.92672835,53,54,0.2864228474609716,0.1694753158736106,0.2265560590048256,0.8152909055060692,155151,0.1831300026979995,0.0,1.0796415209263,0.587951184328211,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124299302.4327734,123190568.33251752,54,55,0.1694753158736106,0.0631593780669188,0.1150509627316598,0.8968199960566761,158678,0.1713989170232898,0.0,1.0019299067223812,0.5510631776127839,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124299751.40127872,123191597.24773504,55,56,0.0631593780669188,0.0,0.0310962021397027,0.9698416092745054,167508,0.2298759758630653,0.0,1.425777442312635,0.9164629488148134,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,2,158489319.24611133,251188643.15095797,210696495.38739863,208999330.45326447,24,25,19.40664523021168,17.551495663828796,18.45697279901384,0.0513954565455672,32,2.6422928201988,1.1092575298283356,5.390175535598261,3.2879495387486446,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,2,158489319.24611133,251188643.15095797,206451642.39976865,204608717.7898669,25,26,17.551495663828796,15.86499605802618,16.68815709001258,0.0565350022001239,125,2.14799069491623,0.4498905332170487,4.850301439134923,2.777272576592189,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,2,158489319.24611133,251188643.15095797,204191726.23545432,202474852.8042182,26,27,15.86499605802618,14.331814598205613,15.080142809102345,0.0621885024201363,406,2.180202811388796,0.6177120386735051,4.610998576675941,2.66818806196761,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,2,158489319.24611133,251188643.15095797,205566157.1189676,203764738.42293692,27,28,14.331814598205613,12.938013271096011,13.618311644638496,0.06840735266215,1140,2.058013839695338,0.4939904664173734,4.321367444249925,2.4573574858016176,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,2,158489319.24611133,251188643.15095797,205059745.76737,203230868.50107324,28,29,12.938013271096011,11.670921155541825,12.289374222398628,0.075248087928365,2770,1.8539369196382287,0.1934726649702232,3.904536851253168,2.2126594094974377,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,2,158489319.24611133,251188643.15095797,204796522.85405207,202983053.68906948,29,30,11.670921155541825,10.51901923231075,11.08124929308966,0.0827728967212015,5891,1.707698813526911,0.0,3.994117718506156,2.1594850615686627,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,2,158489319.24611133,251188643.15095797,204575225.68644676,202756033.23410052,30,31,10.51901923231075,9.471835665737045,9.98295390280878,0.0910501863933217,11246,1.554835366221767,0.0,3.784908143331637,2.011120353563779,0.0,0.0001890437561087,1890437.5610873103
