model,label,mass_bin,mass_bin_left_msun,mass_bin_right_msun,M0_mean_msun,M0_geomean_msun,snapshot,redshift,scale_factor,n_halos,M_over_M0_median,M_over_M0_q16,M_over_M0_q84,M_over_M0_mean,particle_mass_code,particle_mass_msun
PL,PL,13,25118864315.095818,39810717055.34974,31533739650.299583,31252566255.519802,40,3.4410805658271224,0.22517042534529128,837,0.19229549601991827,0.09653831936297766,0.3381965886940128,0.22068787282031638,0.00018904375610873103,1890437.5610873103
PL,PL,14,39810717055.34974,63095734448.01936,49640447502.820915,49212900279.82451,40,3.4410805658271224,0.22517042534529128,596,0.18060216604472296,0.08670148041288386,0.31719876257211216,0.2019218159382811,0.00018904375610873103,1890437.5610873103
PL,PL,15,63095734448.01936,100000000000.0,78369417801.03973,77703551477.6105,40,3.4410805658271224,0.22517042534529128,358,0.17489299916657836,0.08499171258185635,0.3135411845108051,0.19598807864484072,0.00018904375610873103,1890437.5610873103
PL,PL,16,100000000000.0,158489319246.11142,125364902574.96637,124311648080.14793,40,3.4410805658271224,0.22517042534529128,269,0.1680027645671519,0.08885182823964206,0.2560560972550027,0.18170265405052405,0.00018904375610873103,1890437.5610873103
PL,PL,17,158489319246.11142,251188643150.9582,194918774586.5636,193390999133.14005,40,3.4410805658271224,0.22517042534529128,152,0.16012593127468772,0.07625238329508656,0.276007658191264,0.18173432264071873,0.00018904375610873103,1890437.5610873103
PL,PL,18,251188643150.9582,398107170553.4973,311308590158.046,308756896626.35986,40,3.4410805658271224,0.22517042534529128,106,0.12951347026497528,0.08132589124517903,0.2631006097018256,0.16433480028514855,0.00018904375610873103,1890437.5610873103
PL,PL,19,398107170553.4973,630957344480.1936,504418347795.0836,500334095189.1246,40,3.4410805658271224,0.22517042534529128,80,0.10982161762845273,0.06485713505007697,0.2301266359904302,0.14051700620155713,0.00018904375610873103,1890437.5610873103
PL,PL,20,630957344480.1936,1000000000000.0,819532419860.5974,813799602531.173,40,3.4410805658271224,0.22517042534529128,53,0.10461057918249736,0.05979824708019003,0.18771865026283263,0.1203082979695858,0.00018904375610873103,1890437.5610873103
PL,PL,1,100000000.0,158489319.24611133,126083961.96854462,124972183.33422662,41,3.0373459689337468,0.24768746787982046,74026,0.46909709196441596,0.3213990822419506,0.757562292423986,0.5867830991023318,0.00018904375610873103,1890437.5610873103
PL,PL,2,158489319.24611133,251188643.15095794,199325140.55568844,197533076.81016153,41,3.0373459689337468,0.24768746787982046,65681,0.4067931673824361,0.24805696360100513,0.6648380487813466,0.4996960094822379,0.00018904375610873103,1890437.5610873103
PL,PL,3,251188643.15095794,398107170.5534973,315844239.2227635,313098191.14209557,41,3.0373459689337468,0.24768746787982046,48680,0.3757479018119143,0.21100442985883255,0.6138925031409631,0.4504310550290503,0.00018904375610873103,1890437.5610873103
PL,PL,4,398107170.5534973,630957344.4801933,499210470.2072604,494761801.82769823,41,3.0373459689337468,0.24768746787982046,34199,0.3576282101232517,0.19567720383788437,0.5772976240056091,0.42185264416553386,0.00018904375610873103,1890437.5610873103
PL,PL,5,630957344.4801933,999999999.9999999,790735495.7710462,783788447.202318,41,3.0373459689337468,0.24768746787982046,22946,0.3496729346452644,0.18943008740676456,0.5574074120905187,0.40544191169768434,0.00018904375610873103,1890437.5610873103
PL,PL,6,999999999.9999999,1584893192.461114,1251645854.9979482,1240695345.3035285,41,3.0373459689337468,0.24768746787982046,15581,0.3366940346041683,0.1799811384042286,0.5279139374121811,0.3858363655134555,0.00018904375610873103,1890437.5610873103
PL,PL,7,1584893192.461114,2511886431.5095806,1980207420.5426624,1963205302.1935568,41,3.0373459689337468,0.24768746787982046,9879,0.32435685627553557,0.17519456596325328,0.5077436805660286,0.3662089437015567,0.00018904375610873103,1890437.5610873103
PL,PL,8,2511886431.5095806,3981071705.534973,3143987545.9851756,3116620660.8153157,41,3.0373459689337468,0.24768746787982046,6802,0.3156785108769504,0.17164625312891227,0.49337166229336205,0.3559449166016128,0.00018904375610873103,1890437.5610873103
PL,PL,9,3981071705.534973,6309573444.801932,4965890796.097217,4922859074.091034,41,3.0373459689337468,0.24768746787982046,4465,0.30304575650817217,0.1635336899450007,0.4738600048055755,0.33739536725675784,0.00018904375610873103,1890437.5610873103
PL,PL,10,6309573444.801932,10000000000.0,7882711342.867247,7814442776.615726,41,3.0373459689337468,0.24768746787982046,2975,0.28450656609217956,0.1544352174958641,0.4600586295006407,0.32030578008409216,0.00018904375610873103,1890437.5610873103
PL,PL,11,10000000000.0,15848931924.611141,12520731095.133406,12411068772.036604,41,3.0373459689337468,0.24768746787982046,1925,0.26868899676148716,0.14214640862996833,0.4314468038953159,0.29526464536517344,0.00018904375610873103,1890437.5610873103
PL,PL,12,15848931924.611141,25118864315.095818,19836830650.385845,19661727164.336403,41,3.0373459689337468,0.24768746787982046,1303,0.26071519696688294,0.1417070915500743,0.42302013068347577,0.28660677129876067,0.00018904375610873103,1890437.5610873103
PL,PL,13,25118864315.095818,39810717055.34974,31525334679.365585,31243184346.913673,41,3.0373459689337468,0.24768746787982046,839,0.24152274589285427,0.12427293264781893,0.39640909652700773,0.26781993205284693,0.00018904375610873103,1890437.5610873103
PL,PL,14,39810717055.34974,63095734448.01936,49632474035.75007,49205304016.70526,41,3.0373459689337468,0.24768746787982046,597,0.22135243114897576,0.11503516216495992,0.37069612376971733,0.24408404483078358,0.00018904375610873103,1890437.5610873103
PL,PL,15,63095734448.01936,100000000000.0,78424568598.5091,77754169414.1475,41,3.0373459689337468,0.24768746787982046,359,0.21529406170901527,0.10826888770479659,0.3655100111799945,0.23720102696712148,0.00018904375610873103,1890437.5610873103
PL,PL,16,100000000000.0,158489319246.11142,125260975159.1522,124206756339.73474,41,3.0373459689337468,0.24768746787982046,271,0.20462554962181057,0.11360661160592009,0.33571284124053374,0.22389370610023387,0.00018904375610873103,1890437.5610873103
PL,PL,17,158489319246.11142,251188643150.9582,194918774586.5636,193390999133.14005,41,3.0373459689337468,0.24768746787982046,152,0.20431335480757923,0.10663094551246559,0.32246057418194524,0.2193506479586832,0.00018904375610873103,1890437.5610873103
PL,PL,18,251188643150.9582,398107170553.4973,311308590158.046,308756896626.35986,41,3.0373459689337468,0.24768746787982046,106,0.17228248082258285,0.10092129102977251,0.3000946468487556,0.20232664544213627,0.00018904375610873103,1890437.5610873103
PL,PL,19,398107170553.4973,630957344480.1936,504418347795.0836,500334095189.1246,41,3.0373459689337468,0.24768746787982046,80,0.15106749240845385,0.08166625004464856,0.26412476065303053,0.1742551678757924,0.00018904375610873103,1890437.5610873103
PL,PL,20,630957344480.1936,1000000000000.0,820655785850.9084,814847676777.8916,41,3.0373459689337468,0.24768746787982046,52,0.14221121028785444,0.07578431046442591,0.23333434514144027,0.15536713083991052,0.00018904375610873103,1890437.5610873103
PL,PL,1,100000000.0,158489319.24611133,125735298.45185424,124628196.74615338,42,2.670314517212497,0.2724562146678025,82828,0.501262278954706,0.33787829767948135,0.792813590051443,0.6145328875018267,0.00018904375610873103,1890437.5610873103
PL,PL,2,158489319.24611133,251188643.15095794,199050773.8881065,197257936.24258056,42,2.670314517212497,0.2724562146678025,69266,0.45067437282199774,0.2725407563757298,0.7133182951805797,0.540012002181223,0.00018904375610873103,1890437.5610873103
PL,PL,3,251188643.15095794,398107170.5534973,315585876.62193143,312845920.0153775,42,2.670314517212497,0.2724562146678025,49640,0.4261961917211959,0.24353064403913147,0.6681329562755488,0.4977167931090323,0.00018904375610873103,1890437.5610873103
PL,PL,4,398107170.5534973,630957344.4801933,499109754.38494223,494664965.3514888,42,2.670314517212497,0.2724562146678025,34372,0.41286700640238705,0.23150518584597923,0.6348426965746465,0.4741959808699526,0.00018904375610873103,1890437.5610873103
PL,PL,5,630957344.4801933,999999999.9999999,790611810.6081196,783656991.0121489,42,2.670314517212497,0.2724562146678025,22964,0.4042771641119127,0.2262930916796247,0.6169446027241047,0.4600235154436577,0.00018904375610873103,1890437.5610873103
PL,PL,6,999999999.9999999,1584893192.461114,1251476464.9937637,1240535620.6693532,42,2.670314517212497,0.2724562146678025,15562,0.3920197954417992,0.21701066648276215,0.5845086565957743,0.43863562314266435,0.00018904375610873103,1890437.5610873103
