method,mass_bin,mass_bin_left_msun,mass_bin_right_msun,snap_left,snap_right,z_mid,a_mid,PL_M0_mean_msun,PL_n_halos,PL_Gamma_median,PL_Gamma_q16,PL_Gamma_q84,BT_soft_M0_mean_msun,BT_soft_n_halos,BT_soft_Gamma_median,BT_soft_Gamma_q16,BT_soft_Gamma_q84,BT_deep_M0_mean_msun,BT_deep_n_halos,BT_deep_Gamma_median,BT_deep_Gamma_q16,BT_deep_Gamma_q84,BT_soft_minus_PL_Gamma_median,BT_deep_minus_PL_Gamma_median,BT_soft_over_PL_Gamma_median,BT_deep_over_PL_Gamma_median
cumulative_envelope,6,1000000000.0,1584893192.461114,34,35,6.501505295272713,0.1333065778984624,1257948280.8944252,12372.0,2.4551565181672794,0.7292106233674517,5.467068702197465,1251462910.6098125,22103,0.8713068822335063,0.0,2.674791694718709,1249027373.8516788,19372.0,1.7195749422432187,0.2208677659766378,4.457144994588476,-1.583849635933773,-0.7355815759240607,0.3548885277928911,0.7003932048808211
cumulative_envelope,6,1000000000.0,1584893192.461114,35,36,5.819550268429738,0.1466372356883086,1255644784.641341,13718.0,2.239592186712254,0.59309857048738,5.107183447349654,1251513803.4239342,22113,0.8796037897741337,0.0,2.6226044714120325,1248508706.6876304,19814.0,1.605674836830873,0.1405227005449329,4.264160171844818,-1.3599883969381206,-0.633917349881381,0.3927517674837943,0.7169496510826917
cumulative_envelope,6,1000000000.0,1584893192.461114,36,37,5.199591153117943,0.1613009592571395,1254607274.9214334,14540.0,2.0260426261659785,0.4158934855190561,4.816300251428313,1251606062.009016,22094,0.692667364199052,0.0,2.2339543009992107,1248177413.6661098,20043.0,1.404454213582976,0.0,3.8819501251707456,-1.3333752619669266,-0.6215884125830025,0.3418819304457748,0.6932007231460487
cumulative_envelope,6,1000000000.0,1584893192.461114,37,38,4.635991957379948,0.1774310551828535,1253192088.7055666,15050.0,1.8510483362497925,0.3981032840911517,4.555038857316129,1251576481.1124408,22077,0.7527618267765283,0.0,2.254214922291666,1247839617.3703823,20145.0,1.3189797820021265,0.0,3.744601799929798,-1.0982865094732643,-0.532068554247666,0.40666783899420855,0.7125582601880445
cumulative_envelope,6,1000000000.0,1584893192.461114,38,39,4.123629052163588,0.1951741607011388,1252242644.3045044,15279.0,1.6116096711149972,0.1745914281058045,4.0784703224717545,1251511333.4677677,22096,0.5803858302331815,0.0,1.8886833688994025,1247842194.1091952,20208.0,1.1419506127776506,0.0,3.367128497338303,-1.0312238408818157,-0.46965905833734656,0.36012803883935474,0.7085776619766674
cumulative_envelope,6,1000000000.0,1584893192.461114,39,40,3.657844592875989,0.2146915767712527,1251931244.1316898,15426.0,1.3787425975611312,0.0574754917831752,3.6566292204121247,1251576479.9017017,22053,0.4802227439645542,0.0,1.7016139041561449,1247983616.8969204,20235.0,0.9744004782233106,0.0,3.024977463928464,-0.8985198535965769,-0.4043421193378206,0.3483048574940849,0.7067312491446448
cumulative_envelope,6,1000000000.0,1584893192.461114,40,41,3.234404175341808,0.236160734448378,1251779092.7377937,15498.0,1.220427907997407,0.0,3.1758086937725025,1251588500.1906595,22000,0.4194340927809434,0.0,1.5138431435532806,1248006187.5234375,20217.0,0.8512756013332983,0.0,2.7172934489551857,-0.8009938152164635,-0.3691523066641087,0.34367789365714385,0.697522234418706
cumulative_envelope,6,1000000000.0,1584893192.461114,41,42,2.849458341219825,0.2597768078932159,1251615856.6396904,15491.0,1.1684863106139505,0.0,3.071051852472223,1251572423.109524,21928,0.5491623205087777,0.0,1.5800504930183086,1247982313.24896,20198.0,0.8878796152293189,0.0,2.6198800517311733,-0.6193239901051728,-0.28060669538463157,0.46997753890692545,0.7598545290297889
cumulative_envelope,6,1000000000.0,1584893192.461114,42,43,2.4995075829271136,0.2857544886825375,1251332992.4360116,15467.0,0.9726733159974884,0.0,2.709686754179531,1251662558.5089345,21849,0.4180617654692634,0.0,1.3338442090111775,1248064379.065918,20140.0,0.7002196986266048,0.0,2.243064565930912,-0.554611550528225,-0.2724536173708836,0.4298069645722068,0.7198919586978912
cumulative_envelope,6,1000000000.0,1584893192.461114,43,44,2.1813705299337403,0.3143299375507912,1251335453.805734,15409.0,0.8345088966580028,0.0,2.306189542782744,1251776290.913612,21733,0.3406923948456102,0.0,1.1774985925321315,1248349411.9778028,20057.0,0.5892070842896641,0.0,2.0008811757288982,-0.49381650181239256,-0.2453018123683387,0.40825495834735515,0.7060524898527619
