model,snapshot,redshift,reference_model,log10_M_FOF_Msun,dn_dlog10M,poisson_err,reed07_dndlog10M_interp,sim_over_reed07,sim_over_reed07_minus_1,ratio_err,residual_err,source_file
PL,0056,-2.2204460493e-16,Reed07_FOF,1.2238068946e+01,2.6993878901e-03,5.6286128421e-04,2.4440003257e-03,1.1044957162e+00,1.0449571617e-01,2.3030327708e-01,2.3030327708e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.2404941683e+01,1.2910115996e-03,3.8925464326e-04,1.7451672152e-03,7.3976383945e-01,-2.6023616055e-01,2.2304718990e-01,2.2304718990e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.2586503576e+01,1.1736469087e-03,3.7113974004e-04,1.2079056360e-03,9.7163791089e-01,-2.8362089113e-02,3.0725888594e-01,3.0725888594e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.2756456165e+01,1.0562822179e-03,3.5209407262e-04,8.5391002960e-04,1.2369947433e+00,2.3699474328e-01,4.1233158109e-01,4.1233158109e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.2928098115e+01,7.0418814523e-04,2.8748360646e-04,5.9942244865e-04,1.1747777328e+00,1.7477773284e-01,4.7960100111e-01,4.7960100111e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,8.0792499005e+00,1.7908678180e+01,4.5845899256e-02,1.8094429936e+01,9.8973431292e-01,-1.0265687083e-02,2.5337023282e-03,2.5337023282e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,8.2473350472e+00,1.2269891607e+01,3.7948017544e-02,1.2638670379e+01,9.7082139493e-01,-2.9178605070e-02,3.0025324189e-03,3.0025324189e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,8.4143292023e+00,8.7665555847e+00,3.2076223067e-02,8.8412599427e+00,9.9155048506e-01,-8.4495149439e-03,3.6280149294e-03,3.6280149294e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,8.5815357927e+00,5.9740974948e+00,2.6479201380e-02,6.1756942109e+00,9.6735642840e-01,-3.2643571600e-02,4.2876477486e-03,4.2876477486e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,8.7476907530e+00,4.2293540003e+00,2.2279515812e-02,4.3174812686e+00,9.7958826851e-01,-2.0411731485e-02,5.1603039889e-03,5.1603039889e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
