model,label,method,mass_bin,left_msun,right_msun,M0_mean_msun,M0_geomean_msun,n_halos_total,n_halos,selected_fraction,zhalf,zhalf_median,zhalf_q16,zhalf_q84,size0_median,particle_mass_code,z_bk09_original,z_coco_hellwing16,dz_bk09_original,dz_coco_hellwing16
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,11,10000000000.0,15848931924.611141,12519889513.7622,12410146158.273867,1937,1893,0.977284460505937,1.8515295892990336,1.7522208334037594,0.9923115651566428,2.635046093532834,6525.0,0.00018904375610873103,1.904677079674768,1.796881219006567,-0.05314749037573452,0.0546483702924665
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,12,15848931924.611141,25118864315.095818,19842944290.504017,19668021390.761486,1310,1292,0.9862595419847329,1.7831994093129016,1.7352746173539122,0.9916347328126718,2.5528011985059362,10375.5,0.00018904375610873103,1.830333042694079,1.700061106325394,-0.047133633381177376,0.08313830298750746
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,13,25118864315.095818,39810717055.34974,31508549494.302986,31226658479.428352,844,832,0.985781990521327,1.6986477129412405,1.638905366168411,0.9151736336920433,2.424290631543828,16330.0,0.00018904375610873103,1.7575998463798803,1.6062176836068573,-0.05895213343863981,0.09243002933438316
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,14,39810717055.34974,63095734448.01936,49677958677.66179,49248090458.91855,598,591,0.9882943143812709,1.6214380472573382,1.5744482978522965,0.9060454971377077,2.292825177140974,25961.0,0.00018904375610873103,1.6878111243086749,1.5170041660989688,-0.06637307705133666,0.10443388115836938
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,15,63095734448.01936,100000000000.0,78425672843.928,77754490849.71939,359,355,0.9888579387186629,1.5445683082522796,1.494418717000418,0.7879894575116339,2.2212298283281084,40366.0,0.00018904375610873103,1.6195986989936193,1.4306050968331614,-0.07503039074133966,0.11396321141911825
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,16,100000000000.0,158489319246.11142,125310599258.97751,124248010841.32649,271,267,0.985239852398524,1.4977350268258403,1.500397068475042,0.9430014893249327,2.0139795846367203,64444.0,0.00018904375610873103,1.5513853189609876,1.3450083497008882,-0.05365029213514738,0.15272667712495203
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,17,158489319246.11142,251188643150.9582,195082218089.31128,193546445162.0786,153,150,0.9803921568627451,1.4264694163322198,1.417793314857963,0.7634587970086433,1.9223793551436867,101479.0,0.00018904375610873103,1.4885909077986867,1.2669336428498328,-0.06212149146646695,0.159535773482387
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,18,251188643150.9582,398107170553.4973,311396865697.4253,308821583256.46716,106,105,0.9905660377358491,1.3503246847699977,1.41704692001421,0.6146580533102738,1.9310161016313254,164461.0,0.00018904375610873103,1.4239249789829032,1.1872676086418514,-0.07360029421290548,0.16305707612814624
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,19,398107170553.4973,630957344480.1936,501579399094.2142,497691210832.2192,80,78,0.975,1.2320835111835642,1.1427572685276361,0.5007207911975033,1.8418274782923503,262252.5,0.00018904375610873103,1.3597372115655175,1.1089412149305682,-0.12765370038195334,0.123142296252996
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,20,630957344480.1936,1000000000000.0,821848258098.5312,815968145434.4486,53,51,0.9622641509433962,1.2373764147000745,1.296269861963905,0.7088059021894022,1.652856210164589,430532.0,0.00018904375610873103,1.2950386114682626,1.0307614016931486,-0.05766219676818807,0.20661501300692597
