target_M0_msun,z,log10_1_plus_z,pl_median_M_msun_interpolated,bt_median_M_msun,pl_mass_fraction,bt_mass_fraction,bt_over_pl_mass_fraction
300000000.0,6.867645128277267,0.8958447627487359,51137238.769727185,105528680.48777808,0.17415002300263677,0.3593823713701167,2.063636657485112
300000000.0,7.654409641104996,0.9372374479069612,49344087.08109679,94583158.94036606,0.1680433693127808,0.3221069361859611,1.916808366216582
1000000000.0,0.0,0.0,978689920.0916824,978689920.0916836,1.0,1.0,1.0
1000000000.0,0.0631593780669188,0.02659837442600954,959961975.5428336,965580146.7768712,0.9808642715487511,0.986604773334557,1.0058524935124222
1000000000.0,0.1694753158736106,0.06799105958423456,928129203.2729622,946853628.8338344,0.9483383697116409,0.9674705025521599,1.0201743738854905
1000000000.0,0.2864228474609716,0.10938374474245956,890686828.0293187,928129203.2729604,0.9100807209150374,0.9483383697116379,1.0420376433841323
1000000000.0,0.4150651322070684,0.1507764299006845,856996621.8033977,911279064.528469,0.8756569411924824,0.9311213345725482,1.0633403228718015
1000000000.0,0.5565716454277756,0.19216911505890963,821443284.9077716,892558729.2308105,0.839329462830086,0.9119933810569906,1.0865737728089435
1000000000.0,0.7122288099705543,0.23356180021713496,784029022.2815311,870097452.4059308,0.8011005387774753,0.8890430304262458,1.1097770971206382
1000000000.0,0.8834516909676096,0.27495448537535994,742886317.0522902,845768292.1981893,0.7590619886865674,0.864184124956511,1.1384895276495668
1000000000.0,1.0717968600643704,0.31634717053358496,696151430.6521621,817701374.7800493,0.7113094927829108,0.8355060760240047,1.1746027355197948
1000000000.0,1.2789765460708074,0.35773985569181,649437728.1172715,787769955.1143358,0.6635786420038259,0.804922927008932,1.2130030655873507
1000000000.0,1.506874200677888,0.399132540850035,599013691.1768314,755975676.9734017,0.6120566676733694,0.7724363574752889,1.2620340538263817
1000000000.0,1.757561620745676,0.44052522600825994,548621077.6530359,722320488.7082087,0.5605668009757797,0.7380483581976013,1.316610896173086
1000000000.0,2.0333177828202462,0.48191791116648536,494536027.071446,686806931.6639262,0.5053040977729887,0.7017615258565105,1.3887904906161708
1000000000.0,2.3366495611022704,0.5233105963247103,440499980.537499,649437728.1172724,0.45009146563625946,0.663578642003826,1.4743195387314805
1000000000.0,2.670314517212497,0.5647032814829354,386522805.3204185,610216489.7606963,0.39493898668559857,0.6235033969733041,1.578733470214882
1000000000.0,3.0373459689337468,0.6060959666411604,334475299.5094806,572880013.9682317,0.34175819393148277,0.5853539534917906,1.7127722579466378
1000000000.0,3.4410805658271224,0.6474886517993855,286220673.3307366,533696635.0794432,0.2924528673023666,0.5453173922844189,1.864633427309215
1000000000.0,3.885188622409834,0.6888813369576106,239909398.0271813,490807737.0663149,0.24513320624034515,0.5014946276552394,2.0458045458090255
1000000000.0,4.373707484650818,0.7302740221158356,197402252.44709256,446087371.7722402,0.20170050635506717,0.45580051721637305,2.2597886611845994
1000000000.0,4.9110782331159015,0.7716667072740607,160543559.54225183,401406486.36306506,0.16403924904755565,0.4101467463008726,2.500296414926707
1000000000.0,5.502186056427491,0.8130593924322858,129317997.85796948,362348600.280393,0.1321337792524267,0.37023841039095223,2.8019966770469305
1000000000.0,6.152404662070242,0.8544520775905109,105528680.48777828,319619163.043153,0.10782647120539719,0.3265785786505404,3.0287421539414496
