model,M0_msun,z,M_over_M0,M_msun,alpha,beta,f_M0,a_article
Correa2015a_article_formula_project_pl,978689920.0916836,1.12,0.6551287266411141,641167881.1261584,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.1400000000000001,0.6498400419079094,635991898.6872282,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.16,0.6445863181469366,630850132.199418,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.18,0.6393675396555527,625742566.2947092,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.2,0.6341836823262113,620669177.3792894,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.22,0.6290347140244669,615629934.0035006,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.24,0.6239205949504756,610624797.2156366,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.26,0.61884127798481,605653720.9003891,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.28,0.6137967090193732,600716652.1027088,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.3,0.6087868272741426,595813531.3378001,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.32,0.6038115656004351,590944292.8879242,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.34,0.5988708507713469,586108865.0866481,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.36,0.5939646037599833,581307170.5911466,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.3800000000000001,0.5890927400060572,576539126.6431191,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.4000000000000001,0.5842551696714113,571804645.3188666,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.42,0.5794517978849744,567103633.769028,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
