model,target_M0_msun,selection_width_dex,z,n_halos,n_positive_mass,median_M0_Msun,median_M_main_over_M0,p16_M_main_over_M0,p84_M_main_over_M0,median_M_msun,p16_M_msun,p84_M_msun
PL_new_SOAP_direct_raw,3000000000.0,0.1,5.502186056427491,7100,7000,2941507730.128443,0.1053679862488994,0.047004654055507966,0.21324511504729166,312193836.49626774,138489985.18592674,636362044.3523927
PL_new_SOAP_direct_raw,3000000000.0,0.1,6.152404662070242,7100,6904,2941507730.128443,0.08009449739295399,0.034842571898984674,0.16583698769769234,236208925.09422377,101877461.05758864,496400259.36551005
PL_new_SOAP_direct_raw,3000000000.0,0.1,6.867645128277267,7100,6665,2941507730.128443,0.05980133527272445,0.026202964908838392,0.127826714433324,177115894.9300377,78217030.45455708,384662722.83585954
PL_new_SOAP_direct_raw,3000000000.0,0.1,7.654409641104996,7100,6242,2941507730.128443,0.0443062696672525,0.020570034412171593,0.09677923846519507,131151505.04826368,60129220.0520757,289929569.89863366
PL_new_SOAP_direct_raw,10000000000.0,0.1,0.0,2441,2441,9698784587.074734,1.0,1.0,1.0,9698784587.074734,8401376473.847023,11549516971.44773
PL_new_SOAP_direct_raw,10000000000.0,0.1,0.06315937806691885,2441,2361,9698784587.074734,0.9787324062267709,0.9518527744540908,1.0033006292588846,9472472723.869114,8157390575.67057,11344655777.731676
PL_new_SOAP_direct_raw,10000000000.0,0.1,0.16947531587361064,2441,2322,9698784587.074734,0.9422897891997162,0.8832934526248316,0.9943656967360922,9100962147.823698,7737701943.073995,11010851562.952787
PL_new_SOAP_direct_raw,10000000000.0,0.1,0.2864228474609716,2441,2310,9698784587.074734,0.9038219369455079,0.8036394255540965,0.9742509798713709,8691759814.334743,7260742259.117733,10630509467.241224
PL_new_SOAP_direct_raw,10000000000.0,0.1,0.4150651322070684,2441,2309,9698784587.074734,0.8633981425062405,0.725131196220313,0.9497928938467126,8288243908.808968,6715150660.928526,10232003106.795094
PL_new_SOAP_direct_raw,10000000000.0,0.1,0.5565716454277756,2441,2332,9698784587.074734,0.8172776801770066,0.6470085273885404,0.9266191065802222,7821598862.797125,6124181787.532062,9823711495.369429
PL_new_SOAP_direct_raw,10000000000.0,0.1,0.7122288099705543,2441,2349,9698784587.074734,0.7688458529761721,0.577176992732221,0.8846671497593462,7383276564.2866335,5528119806.339825,9292485521.158632
PL_new_SOAP_direct_raw,10000000000.0,0.1,0.8834516909676096,2441,2378,9698784587.074734,0.7208901861534498,0.5226059436263971,0.8534354695960639,6935572419.675636,5043856019.450384,8849554044.487799
PL_new_SOAP_direct_raw,10000000000.0,0.1,1.0717968600643704,2441,2405,9698784587.074734,0.6676086056953804,0.46765789597506346,0.8088516317640996,6389913450.788204,4480738775.995534,8386970699.818899
PL_new_SOAP_direct_raw,10000000000.0,0.1,1.2789765460708074,2441,2409,9698784587.074734,0.6154744563849625,0.4158717512217754,0.7628035601485449,5947039416.475834,3953780133.8921723,7870504952.386117
PL_new_SOAP_direct_raw,10000000000.0,0.1,1.506874200677888,2441,2409,9698784587.074734,0.5597117678942423,0.3610087937288589,0.7105018943787146,5394949461.732397,3470281997.619673,7343159997.949556
PL_new_SOAP_direct_raw,10000000000.0,0.1,1.7575616207456761,2441,2412,9698784587.074734,0.49721227921543243,0.3148039426481424,0.6611164112550721,4820369899.193139,3000356787.203352,6780065867.1323805
PL_new_SOAP_direct_raw,10000000000.0,0.1,2.0333177828202462,2441,2418,9698784587.074734,0.44398296468683135,0.27068377684802186,0.6100648792542025,4325972267.211668,2555390865.150427,6194966048.448127
PL_new_SOAP_direct_raw,10000000000.0,0.1,2.3366495611022704,2441,2425,9698784587.074734,0.38585010424136257,0.2257887488489266,0.5583549341129663,3756401186.8956013,2149836871.965142,5581479838.75134
PL_new_SOAP_direct_raw,10000000000.0,0.1,2.670314517212497,2441,2423,9698784587.074734,0.32852430564921803,0.18601875607996443,0.5009304784990346,3212451104.4525414,1803299415.8729541,4999322616.075475
PL_new_SOAP_direct_raw,10000000000.0,0.1,3.0373459689337468,2441,2424,9698784587.074734,0.27712958179782354,0.1516506518067562,0.44405437806143355,2704491166.048324,1465579657.1911592,4464994176.146609
PL_new_SOAP_direct_raw,10000000000.0,0.1,3.4410805658271224,2441,2427,9698784587.074734,0.22799510972521556,0.11717660355583906,0.3915682946436649,2262613181.258384,1142001019.329785,3874705159.130373
PL_new_SOAP_direct_raw,10000000000.0,0.1,3.885188622409834,2441,2418,9698784587.074734,0.1870170833391794,0.09074694437261283,0.33418507437093153,1842631189.3812242,873840763.2253586,3272669502.364012
PL_new_SOAP_direct_raw,10000000000.0,0.1,4.373707484650818,2441,2429,9698784587.074734,0.14777125700679852,0.06972788052653592,0.279517761513743,1449290979.4052575,669989031.6177828,2744065029.9548664
PL_new_SOAP_direct_raw,10000000000.0,0.1,4.9110782331159015,2441,2424,9698784587.074734,0.11299325978966587,0.05201494246503098,0.2265395481115261,1111712353.1380177,503857762.5596506,2231259446.447642
PL_new_SOAP_direct_raw,10000000000.0,0.1,5.502186056427491,2441,2425,9698784587.074734,0.08550257601073519,0.03850769640738776,0.17785390026212164,832669713.0475751,371644591.37344307,1791278934.3751688
PL_new_SOAP_direct_raw,10000000000.0,0.1,6.152404662070242,2441,2420,9698784587.074734,0.06470966873186354,0.027440298821494437,0.13951215372573295,628891081.5159583,265831779.5779299,1368610061.5622287
PL_new_SOAP_direct_raw,10000000000.0,0.1,6.867645128277267,2441,2412,9698784587.074734,0.045898201319898455,0.018569813303934177,0.10658404835039063,449812677.15797144,182645353.898241,1033461685.0353556
PL_new_SOAP_direct_raw,10000000000.0,0.1,7.654409641104996,2441,2381,9698784587.074734,0.03180033174611992,0.012808768496059483,0.07682170587946832,308481883.4920135,125652384.10962927,746626034.4417737
PL_new_SOAP_direct_raw,30000000000.0,0.1,0.0,878,878,29268746206.005985,1.0,1.0,1.0,29268746206.005985,25256016313.021996,34518731932.482796
PL_new_SOAP_direct_raw,30000000000.0,0.1,0.06315937806691885,878,857,29268746206.005985,0.9767556849296043,0.9524276819517524,1.0032224694991347,28632453262.42858,24635353380.42117,34084413739.36434
PL_new_SOAP_direct_raw,30000000000.0,0.1,0.16947531587361064,878,846,29268746206.005985,0.9374278961030963,0.8774719273690702,0.9925904763411165,27432587541.871834,23212156658.955463,32790624788.679714
PL_new_SOAP_direct_raw,30000000000.0,0.1,0.2864228474609716,878,844,29268746206.005985,0.9002816843545284,0.7972772287899169,0.9780098866625084,26058124906.998695,21618991366.77959,31683276583.24729
PL_new_SOAP_direct_raw,30000000000.0,0.1,0.4150651322070684,878,842,29268746206.005985,0.8555088155637751,0.7019894089687864,0.9503376325170929,24462838709.734436,19533365065.715275,30205796684.105873
PL_new_SOAP_direct_raw,30000000000.0,0.1,0.5565716454277756,878,851,29268746206.005985,0.801562658319545,0.6241575012345978,0.9082645948924206,22993175360.914654,17809932255.48856,28698537261.896454
PL_new_SOAP_direct_raw,30000000000.0,0.1,0.7122288099705543,878,859,29268746206.005985,0.75512300177603,0.5549166571327413,0.8719910189548653,21566061910.21817,16065755890.587147,27518190601.879055
PL_new_SOAP_direct_raw,30000000000.0,0.1,0.8834516909676096,878,862,29268746206.005985,0.7061290114952359,0.49166744678253704,0.826126572077005,20026724119.388622,14449634559.706076,25944507584.558468
PL_new_SOAP_direct_raw,30000000000.0,0.1,1.0717968600643704,878,867,29268746206.005985,0.648299620737542,0.4452030345513804,0.7822108755679388,18519580142.128136,12806850685.250513,24703845396.268867
PL_new_SOAP_direct_raw,30000000000.0,0.1,1.2789765460708074,878,865,29268746206.005985,0.5905204000924058,0.39283017166132805,0.7263181028354303,16924798734.945208,11371743765.781202,22785219784.833366
PL_new_SOAP_direct_raw,30000000000.0,0.1,1.506874200677888,878,868,29268746206.005985,0.5247934768040019,0.3310760482749851,0.6770559974462419,15032966964.858303,9801305957.7025,21092867701.23067
PL_new_SOAP_direct_raw,30000000000.0,0.1,1.7575616207456761,878,874,29268746206.005985,0.4685312541629395,0.2882189717054053,0.6251947107496549,13682892985.389715,8524617804.299309,19441708761.12276
PL_new_SOAP_direct_raw,30000000000.0,0.1,2.0333177828202462,878,871,29268746206.005985,0.4082353517866933,0.24096837473583962,0.5684063875453845,11879266559.102236,7147637029.804677,17309797992.282574
PL_new_SOAP_direct_raw,30000000000.0,0.1,2.3366495611022704,878,873,29268746206.005985,0.34797770600145606,0.20375119815777123,0.5147925354703923,10166518589.102365,5836161226.7453985,15389122174.454628
PL_new_SOAP_direct_raw,30000000000.0,0.1,2.670314517212497,878,877,29268746206.005985,0.29901471274375563,0.16232360146161545,0.4553451290625498,8723816272.116735,4743669632.299349,13606817309.652325
PL_new_SOAP_direct_raw,30000000000.0,0.1,3.0373459689337468,878,873,29268746206.005985,0.2421071765802117,0.1264931584994259,0.3921737664748293,7209844432.266249,3684941235.508203,11723369992.222406
PL_new_SOAP_direct_raw,30000000000.0,0.1,3.4410805658271224,878,871,29268746206.005985,0.19850219919782355,0.09982684253342311,0.3336303294039621,5873547376.624849,2916298428.815837,9889269224.990667
