model,cosmology,spectrum,closure,target_M0_msun,M0_msun,z,M_over_M0,M_msun,q_solved,z_form_solved,alpha,beta,f_M0,a_article
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.18,0.6748626460126675,198165993.15291047,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.2,0.670052097710021,196753428.5553048,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.22,0.6652692505453918,195348998.09219164,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.24,0.6605141185463538,193952705.88261384,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.26,0.6557867091945953,192564554.12348682,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.28,0.6510870236995866,191184543.16995832,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.3,0.6464150572606782,189812671.6123703,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.32,0.6417707993181913,188448936.34998932,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.34,0.6371542337940435,187093332.6616633,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.36,0.632565339322409,185745854.2735525,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.3800000000000001,0.6280040894708906,184406493.42407417,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.4000000000000001,0.6234704529526558,183075240.92619413,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.42,0.6189643938299606,181752086.2271891,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.44,0.614485871709461,180437017.46599793,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.46,0.6100348419296964,179130021.5282739,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.48,0.605611255741099,177831084.0992427,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.5,0.6012150604788741,176540189.71446654,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.52,0.5968461997290707,175257321.8086093,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.54,0.5925046134881495,173982462.76229158,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.56,0.588190238316335,172715593.9471211,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.58,0.5839030074850287,171456695.76897886,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.6,0.5796428511185434,170205747.7096379,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
Correa2015_solved_qzf_half_mass_project_pl,project,pl,half_mass,300000000.0,293639000.9489291,1.62,0.5754096963304035,168962728.36678633,3.035076537513371,1.9999734133398317,0.11984252075921611,-0.41240877451763797,0.41240877451763797,0.29059158816246444
