dataset,model,z,snap,box,x,y
power,PL,10.51901923231075,30,25,2.276370248265442,0.15228763728771025
power,PL,10.51901923231075,30,25,2.5367369097912875,0.10906130244346579
power,PL,10.51901923231075,30,25,2.7799951337842748,0.09701426299545333
power,PL,10.51901923231075,30,25,3.0232513459545807,0.07828755252003279
power,PL,10.51901923231075,30,25,3.27850725349039,0.06308964285687572
power,PL,10.51901923231075,30,25,3.5320903813324764,0.05238046520589307
power,PL,10.51901923231075,30,25,3.7740842065088223,0.04640825653230661
power,PL,10.51901923231075,30,25,4.0223998293999035,0.039596424569720144
power,PL,10.51901923231075,30,25,4.280552523081682,0.03695706579180247
power,PL,10.51901923231075,30,25,4.537090733730488,0.030166959670373677
power,PL,10.51901923231075,30,25,4.784354808644596,0.027012543190680163
power,PL,10.51901923231075,30,25,5.031213959107016,0.024163671167153077
power,PL,10.51901923231075,30,25,5.285957311443282,0.0214316306161994
power,PL,10.51901923231075,30,25,5.538249178821105,0.01946420564595507
power,PL,10.51901923231075,30,25,5.785985141724235,0.017630611072146068
power,PL,10.51901923231075,30,25,6.034136131752394,0.016271773310505416
power,PL,10.51901923231075,30,25,6.286911813219537,0.014504913795168085
power,PL,10.51901923231075,30,25,6.54166682420824,0.01324269938380283
power,PL,10.51901923231075,30,25,6.793019941028072,0.012477910381592142
power,PL,10.51901923231075,30,25,7.044049470420791,0.011523348937732807
power,PL,10.51901923231075,30,25,7.295989038663275,0.010593107723033039
power,PL,10.51901923231075,30,25,7.546022875800913,0.010001153719981597
power,PL,10.51901923231075,30,25,7.796320632595667,0.009313667884500988
power,PL,10.51901923231075,30,25,8.04569565437213,0.008609125799393132
power,PL,10.51901923231075,30,25,8.295810539385062,0.008067712428102156
power,PL,10.51901923231075,30,25,8.549551313965676,0.007797527108388201
power,PL,10.51901923231075,30,25,8.801317467211248,0.007123838907184212
power,PL,10.51901923231075,30,25,9.051715364342233,0.006693300781027642
power,PL,10.51901923231075,30,25,9.303933965686708,0.006437188504152203
power,PL,10.51901923231075,30,25,9.555557996267446,0.0060672647747132945
power,PL,10.51901923231075,30,25,9.80486850979469,0.005685122460702024
power,PL,10.51901923231075,30,25,10.054942567415612,0.0054179448525619595
power,PL,10.51901923231075,30,25,10.308274496268336,0.005081633905567592
power,PL,10.51901923231075,30,25,10.560810068695892,0.0048695973356882765
power,PL,10.51901923231075,30,25,10.811584699358507,0.004684822287735691
power,PL,10.51901923231075,30,25,11.062453457041169,0.004494426759731298
power,PL,10.51901923231075,30,25,11.314786957671013,0.0042758243494488085
power,PL,10.51901923231075,30,25,11.565937880035426,0.003957343550646264
power,PL,10.51901923231075,30,25,11.814085010948824,0.0038545617736470365
power,PL,10.51901923231075,30,25,12.064293330625782,0.003691617219024399
power,PL,10.51901923231075,30,25,12.317521238569554,0.003545764603282095
power,PL,10.51901923231075,30,25,12.571032385248238,0.0033837041939330757
power,PL,10.51901923231075,30,25,12.821843069043268,0.003282637430506713
power,PL,10.51901923231075,30,25,13.072502986326512,0.0031103338774289844
power,PL,10.51901923231075,30,25,13.324942706400424,0.002970512445731807
power,PL,10.51901923231075,30,25,13.576176707479814,0.002908867805483981
power,PL,10.51901923231075,30,25,13.82555646698322,0.002810029486604704
power,PL,10.51901923231075,30,25,14.075222265910044,0.002711364885006079
power,PL,10.51901923231075,30,25,14.32811852917941,0.002595701460403262
power,PL,10.51901923231075,30,25,14.580461685752585,0.002514656601685136
power,PL,10.51901923231075,30,25,14.830552404971625,0.002414785764252668
power,PL,10.51901923231075,30,25,15.08215309851155,0.002340222312874296
power,PL,10.51901923231075,30,25,15.334342820333537,0.0022601022594001103
power,PL,10.51901923231075,30,25,15.5860439155924,0.0022151042472969363
power,PL,10.51901923231075,30,25,15.835068837290374,0.002118063192892303
power,PL,10.51901923231075,30,25,16.08449366682584,0.002052204708060316
power,PL,10.51901923231075,30,25,16.338138266722677,0.0019866507783512077
power,PL,10.51901923231075,30,25,16.590773181146194,0.001949378368155644
power,PL,10.51901923231075,30,25,16.842164585753792,0.001877577455280178
power,PL,10.51901923231075,30,25,17.093141526529084,0.0018347062263574837
power,PL,10.51901923231075,30,25,17.344842926726773,0.0017750976964667046
power,PL,10.51901923231075,30,25,17.59671504894166,0.0017169935035689164
power,PL,10.51901923231075,30,25,17.84592583282211,0.0016762791843350844
power,PL,10.51901923231075,30,25,18.096741808972432,0.001622378508394832
power,PL,10.51901923231075,30,25,18.348607136620142,0.001577538272364171
power,PL,10.51901923231075,30,25,18.60101336990868,0.0015394679361524703
power,PL,10.51901923231075,30,25,18.852551541782248,0.00151988445055727
power,PL,10.51901923231075,30,25,19.10320472609246,0.0014746694518621862
power,PL,10.51901923231075,30,25,19.355236149567805,0.0014332377107091282
power,PL,10.51901923231075,30,25,19.605996073418613,0.0013834693058834293
