dataset,model,z,snap,x,y,err,lo,hi,count,theory,reference,particleMass,mass50
hmf.fof,kp1,1.0717968600643704,48,120731881304.18375,0.03990399489657743,0.0021640979704269656,0.037739896926150464,0.04206809286700439,,,,,
hmf.fof,kp1,1.0717968600643704,48,176058178042.98566,0.027815431736731917,0.001806806449861393,0.026008625286870524,0.02962223818659331,,,,,
hmf.fof,kp1,1.0717968600643704,48,259368449539.4049,0.019365173993927284,0.0015075767507776573,0.017857597243149625,0.020872750744704942,,,,,
hmf.fof,kp1,1.0717968600643704,48,383384668072.6152,0.014435856977291247,0.0013016373886825504,0.013134219588608696,0.015737494365973798,,,,,
hmf.fof,kp1,1.0717968600643704,48,563799500813.0608,0.009389175269782925,0.0010497417077947274,0.008339433561988198,0.010438916977577652,,,,,
hmf.fof,kp1,1.0717968600643704,48,819950187455.2993,0.006102963925358901,0.0008463288217380192,0.005256635103620882,0.00694929274709692,,,,,
hmf.fof,kp1,1.0717968600643704,48,1189809784625.1995,0.00410776418053003,0.0006943388749192706,0.0034134253056107592,0.004802103055449301,,,,,
hmf.fof,kp1,1.0717968600643704,48,1763312340812.9531,0.003286211344424024,0.0006210355694960852,0.0026651757749279388,0.003907246913920109,,,,,
hmf.fof,kp1,1.0717968600643704,48,2476821691973.7754,0.001643105672212012,0.0004391384625487312,0.0012039672096632807,0.002082244134760743,,,,,
hmf.fof,kp1,1.0717968600643704,48,3877561951145.804,0.001643105672212012,0.0004391384625487312,0.0012039672096632807,0.002082244134760743,,,,,
hmf.fof,kp1,1.0717968600643704,48,5760607142494.108,0.0007041881452337194,0.0002874836064565844,0.000416704538777135,0.0009916717516903037,,,,,
hmf.fof,kp1,1.0717968600643704,48,7863547413358.687,0.000821552836106006,0.0003105177847480426,0.0005110350513579634,0.0011320706208540485,,,,,
hmf.fof,kp10,2.0333177828202462,44,119952743.5388687,27.2289603764431,0.056530686510558,27.172429689932542,27.28549106295366,,,,,
hmf.fof,kp10,2.0333177828202462,44,176547932.4442252,18.29363436626331,0.04633601992324255,18.247298346340067,18.33997038618655,,,,,
hmf.fof,kp10,2.0333177828202462,44,259365662.49178728,12.732191124589136,0.03865630188551764,12.693534822703619,12.770847426474653,,,,,
hmf.fof,kp10,2.0333177828202462,44,380812865.3740614,8.556590152734925,0.031689770560806935,8.524900382174119,8.588279923295731,,,,,
hmf.fof,kp10,2.0333177828202462,44,558613889.6307073,5.878914730483706,0.026267413462458616,5.852647317021248,5.905182143946165,,,,,
hmf.fof,kp10,2.0333177828202462,44,820688644.1692996,3.9385242962921927,0.021499853174552684,3.91702444311764,3.9600241494667454,,,,,
hmf.fof,kp10,2.0333177828202462,44,1205654184.721286,2.6344852160102166,0.017583956977445324,2.616901259032771,2.652069172987662,,,,,
hmf.fof,kp10,2.0333177828202462,44,1764352338.8842208,1.7757277728976957,0.01443633406164709,1.7612914388360486,1.7901641069593428,,,,,
hmf.fof,kp10,2.0333177828202462,44,2595628294.7557144,1.2015797051504697,0.011875311812891405,1.1897043933375784,1.213455016963361,,,,,
hmf.fof,kp10,2.0333177828202462,44,3802464157.0151663,0.814628319344541,0.009777965068237991,0.804850354276303,0.8244062844127791,,,,,
hmf.fof,kp10,2.0333177828202462,44,5594319930.161673,0.5409338602303688,0.007967843829311032,0.5329660164010578,0.5489017040596799,,,,,
hmf.fof,kp10,2.0333177828202462,44,8177110031.119698,0.35502818988866686,0.006455057997975761,0.3485731318906911,0.3614832478866426,,,,,
hmf.fof,kp10,2.0333177828202462,44,12049442150.996447,0.255972390792457,0.005481069285932887,0.2504913215065241,0.2614534600783899,,,,,
hmf.fof,kp10,2.0333177828202462,44,17637268229.484455,0.16900515485609266,0.004453676880455994,0.16455147797563666,0.17345883173654866,,,,,
hmf.fof,kp10,2.0333177828202462,44,25994205340.820812,0.11431320890960711,0.0036628314766441483,0.11065037743296297,0.11797604038625126,,,,,
hmf.fof,kp10,2.0333177828202462,44,38449067310.76869,0.0768738725213477,0.003003710752489916,0.07387016176885779,0.07987758327383761,,,,,
hmf.fof,kp10,2.0333177828202462,44,55508307886.52272,0.0558655928552084,0.002560595250297976,0.05330499760491043,0.05842618810550638,,,,,
hmf.fof,kp10,2.0333177828202462,44,82105713656.19916,0.036265689479536546,0.0020630829927649886,0.03420260648677156,0.038328772472301535,,,,,
hmf.fof,kp10,2.0333177828202462,44,118680770156.64468,0.026524420137136764,0.0017643781822392014,0.024760041954897564,0.028288798319375964,,,,,
hmf.fof,kp10,2.0333177828202462,44,176956779422.09485,0.02077355028439472,0.0015614356558782327,0.019212114628516488,0.022334985940272955,,,,,
hmf.fof,kp10,2.0333177828202462,44,259974388090.47308,0.012088563159845515,0.0011911215212334048,0.01089744163861211,0.01327968468107892,,,,,
hmf.fof,kp10,2.0333177828202462,44,379415621556.95355,0.008332893051932347,0.000988932463372431,0.007343960588559915,0.009321825515304777,,,,,
hmf.fof,kp10,2.0333177828202462,44,558877952009.6841,0.005046681707508323,0.0007696117453187272,0.004277069962189595,0.00581629345282705,,,,,
hmf.fof,kp10,2.0333177828202462,44,811168439356.3374,0.0031688466535517374,0.0006098448228162468,0.002559001830735491,0.003778691476367984,,,,,
hmf.fof,kp10,2.0333177828202462,44,1222846125730.0864,0.0031688466535517374,0.0006098448228162468,0.002559001830735491,0.003778691476367984,,,,,
hmf.fof,kp10,2.0333177828202462,44,1758504869882.2617,0.0012910115995951523,0.0003892546432594237,0.0009017569563357286,0.001680266242854576,,,,,
hmf.fof,kp10,2.0333177828202462,44,2589535793757.657,0.001643105672212012,0.0004391384625487312,0.0012039672096632807,0.002082244134760743,,,,,
hmf.fof,kp10,2.0333177828202462,44,3559574750923.23,0.000821552836106006,0.0003105177847480426,0.0005110350513579634,0.0011320706208540485,,,,,
hmf.fof,kp10,2.0333177828202462,44,5748440762342.262,0.00011736469087228657,0.00011736469087228657,0.0,0.00023472938174457314,,,,,
hmf.fof,kp10,2.0333177828202462,44,8218862697121.746,0.00023472938174457314,0.00016597873757531346,6.875064416925967e-05,0.0004007081193198866,,,,,
hmf.fof,kp10,1.0717968600643704,48,119933903.94249082,24.491311597156145,0.053613573045051544,24.437698024111093,24.544925170201196,,,,,
hmf.fof,kp10,1.0717968600643704,48,176597963.14702138,16.405236490128217,0.043879328952829866,16.361357161175388,16.449115819081047,,,,,
hmf.fof,kp10,1.0717968600643704,48,259529746.8743427,11.519813867878415,0.036769816337722305,11.483044051540693,11.556583684216138,,,,,
hmf.fof,kp10,1.0717968600643704,48,381062640.65445465,7.757219243203781,0.03017322718084965,7.727046016022931,7.7873924703846304,,,,,
hmf.fof,kp10,1.0717968600643704,48,559519665.1415714,5.399127874197799,0.02517274267804703,5.373955131519752,5.424300616875845,,,,,
hmf.fof,kp10,1.0717968600643704,48,821413063.795144,3.624104289445337,0.020623818259955642,3.603480471185381,3.644728107705293,,,,,
hmf.fof,kp10,1.0717968600643704,48,1202464194.359025,2.4670058021354637,0.017015856527009328,2.449989945608454,2.4840216586624733,,,,,
hmf.fof,kp10,1.0717968600643704,48,1763806948.188515,1.660710375842855,0.013960972741510367,1.6467494031013445,1.6746713485843654,,,,,
hmf.fof,kp10,1.0717968600643704,48,2598850718.8775177,1.1310435259362257,0.01152148314170559,1.11952204279452,1.1425650090779313,,,,,
hmf.fof,kp10,1.0717968600643704,48,3814165748.6040063,0.7517208450369954,0.009392842200315143,0.7423280028366803,0.7611136872373105,,,,,
hmf.fof,kp10,1.0717968600643704,48,5581203259.196586,0.5084238408587454,0.007724701089005792,0.5006991397697396,0.5161485419477512,,,,,
