model,snapshot,redshift,box_size_mpc,particle_mass_msun,log10_M_FOF_Msun,dn_dlog10M,poisson_err,counts,log10_bin_left,log10_bin_right,source_fof_file
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.1924161170e+01,5.5161404710e-03,8.0461178290e-04,47,1.1833333333e+01,1.2000000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.2066046670e+01,3.1688466536e-03,6.0984482282e-04,27,1.2000000000e+01,1.2166666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.2238068946e+01,2.6993878901e-03,5.6286128421e-04,23,1.2166666667e+01,1.2333333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.2404941683e+01,1.2910115996e-03,3.8925464326e-04,11,1.2333333333e+01,1.2500000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.2586503576e+01,1.1736469087e-03,3.7113974004e-04,10,1.2500000000e+01,1.2666666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.2756456165e+01,1.0562822179e-03,3.5209407262e-04,9,1.2666666667e+01,1.2833333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.2928098115e+01,7.0418814523e-04,2.8748360646e-04,6,1.2833333333e+01,1.3000000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.3120238363e+01,4.6945876349e-04,2.3472938174e-04,4,1.3000000000e+01,1.3166666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.3249999481e+01,9.3891752698e-04,3.3195747515e-04,8,1.3166666667e+01,1.3333333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.3390258585e+01,3.5209407262e-04,2.0328160761e-04,3,1.3333333333e+01,1.3500000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.3550513495e+01,2.3472938174e-04,1.6597873758e-04,2,1.3500000000e+01,1.3666666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.3818188252e+01,1.1736469087e-04,1.1736469087e-04,1,1.3666666667e+01,1.3833333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.3916666667e+01,0.0000000000e+00,0.0000000000e+00,0,1.3833333333e+01,1.4000000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.4083333333e+01,0.0000000000e+00,0.0000000000e+00,0,1.4000000000e+01,1.4166666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.4250000000e+01,0.0000000000e+00,0.0000000000e+00,0,1.4166666667e+01,1.4333333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.4416666667e+01,0.0000000000e+00,0.0000000000e+00,0,1.4333333333e+01,1.4500000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,7.0124754056e+00,5.6855059355e+02,2.5831717840e-01,4844307,7.0000000000e+00,7.1666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,7.2500000000e+00,0.0000000000e+00,0.0000000000e+00,0,7.1666666667e+00,7.3333333333e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,7.3404672007e+00,1.6641855443e+02,1.3975572331e-01,1417961,7.3333333333e+00,7.5000000000e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,7.5335491135e+00,7.0920900671e+01,9.1233818202e-02,604278,7.5000000000e+00,7.6666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,7.7136741824e+00,5.9915144149e+01,8.3856558310e-02,510504,7.6666666667e+00,7.8333333333e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,7.9208118533e+00,3.2744983483e+01,6.1992780742e-02,279002,7.8333333333e+00,8.0000000000e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,8.0961859565e+00,1.3778145250e+01,4.0212781028e-02,117396,8.0000000000e+00,8.1666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,8.2496030182e+00,1.0763633165e+01,3.5542516498e-02,91711,8.1666666667e+00,8.3333333333e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,8.4155861680e+00,6.7826228502e+00,2.8214188525e-02,57791,8.3333333333e+00,8.5000000000e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,8.5784876069e+00,4.4393194322e+00,2.2825848349e-02,37825,8.5000000000e+00,8.6666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,8.7434708948e+00,3.1194361187e+00,1.9134044417e-02,26579,8.6666666667e+00,8.8333333333e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,8.9128746718e+00,2.1737114396e+00,1.5972381512e-02,18521,8.8333333333e+00,9.0000000000e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,9.0814880369e+00,1.5127135007e+00,1.3324381876e-02,12889,9.0000000000e+00,9.1666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,9.2475590908e+00,1.0309314446e+00,1.0999770466e-02,8784,9.1666666667e+00,9.3333333333e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,9.4146255330e+00,7.5688489144e-01,9.4250496714e-03,6449,9.3333333333e+00,9.5000000000e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,9.5810303011e+00,5.5278769401e-01,8.0546729807e-03,4710,9.5000000000e+00,9.6666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,9.7483688153e+00,3.8483882137e-01,6.7206018559e-03,3279,9.6666666667e+00,9.8333333333e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,9.9146887078e+00,2.7768485860e-01,5.7088000131e-03,2366,9.8333333333e+00,1.0000000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.0082635309e+01,1.9635112783e-01,4.8004884564e-03,1673,1.0000000000e+01,1.0166666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.0249742771e+01,1.3778614708e-01,4.0213466102e-03,1174,1.0166666667e+01,1.0333333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
