box_hinv_Mpc,redshift,k_hMpc,P_mesh512_over_mesh1024,n_raw_shells,k_bin_left_hMpc,k_bin_right_hMpc,k_over_kNy1024,inferred_mesh1024_fractional_error_dx2
25.0,-2.220446049250313e-16,41.44218933648144,0.8102503575823107,21.0,38.83375476301954,44.05822795890689,0.32205709401617455,0.06324988080589644
25.0,-2.220446049250313e-16,46.96956401753413,0.7739491986443446,23.0,44.05822795890689,49.985572158154845,0.3650116351690322,0.07535026711855179
25.0,-2.220446049250313e-16,53.24624809945334,0.7439929250031545,27.0,49.985572158154845,56.710347640593085,0.41378923760378106,0.08533569166561517
25.0,-2.220446049250313e-16,60.40590934164059,0.7501304333389038,30.0,56.710347640593085,64.33983628998509,0.4694286652188963,0.08328985555369872
256.0,-2.220446049250313e-16,0.03132124615650729,0.9999822519147654,1.0,0.03132124615650729,0.03553502903702046,0.0024924655748030816,5.9160284115270896e-06
256.0,-2.220446049250313e-16,0.05475214534566136,0.9999271193925086,1.0,0.05189309821843487,0.05887450144220792,0.004357037288323959,2.4293535830481144e-05
256.0,-2.220446049250313e-16,0.07692383885216453,0.9999861941829493,1.0,0.07578138292507562,0.08597658053744626,0.006121404597463187,4.601939016894245e-06
256.0,-2.220446049250313e-16,0.09966162230830337,0.9998808810678822,1.0,0.09754338223439868,0.11066631585309401,0.007930819913461996,3.970631070593367e-05
256.0,-2.220446049250313e-16,0.12511351331450943,0.9997999810945671,1.0,0.11066631585309401,0.12555473455971522,0.009956217045798918,6.667296847762127e-05
256.0,-2.220446049250313e-16,0.15025472412609964,0.9996536819913773,1.0,0.14244615670848515,0.1616100550263816,0.011956891033788912,0.00011543933620757525
256.0,-2.220446049250313e-16,0.17356669305616573,0.9996506571869638,1.0,0.1616100550263816,0.1833521555732807,0.013811998578001262,0.00011644760434540806
256.0,-2.220446049250313e-16,0.19696505611493229,0.9996017365231472,1.0,0.1833521555732807,0.20801931505982493,0.01567398114853201,0.0001327544922842631
256.0,-2.220446049250313e-16,0.2223017820571719,0.9992247343870406,1.0,0.20801931505982493,0.2360050543319852,0.017690213736268057,0.0002584218709864583
256.0,-2.220446049250313e-16,0.24772821384680527,0.9989655286261516,1.0,0.2360050543319852,0.2677558362992629,0.019713584888522585,0.00034482379128279267
256.0,-2.220446049250313e-16,0.2831125937930721,0.998917682762699,2.0,0.2677558362992629,0.30377818845975996,0.022529384376867634,0.0003607724124336705
256.0,-2.220446049250313e-16,0.32016672397367135,0.998552442996524,1.0,0.30377818845975996,0.3446467836493896,0.025478058366974116,0.0004825190011586618
256.0,-2.220446049250313e-16,0.35655106688011545,0.9979200923061224,2.0,0.3446467836493896,0.39101360792927226,0.028373432379329672,0.0006933025646258528
256.0,-2.220446049250313e-16,0.4174657854373361,0.9973685383043762,3.0,0.39101360792927226,0.44361836186872367,0.033220871662046306,0.0008771538985412608
