model,z,x,y,lo,hi
kp10,3.441080566,17738904228.91454,1.0353327855560426,0.9937213778140217,1.0769441932980635
kp10,3.441080566,25816761637.74076,0.9951338199564075,0.9459875174445188,1.0442801224682963
kp10,3.441080566,38001975926.25938,1.0069565217318373,0.947672123046425,1.0662409204172494
kp10,3.441080566,56220050968.712715,0.9915014164213639,0.9167103670721176,1.06629246577061
kp10,3.441080566,81591555536.869,0.9055118110228296,0.8230911631709282,0.987932458874731
kp10,3.441080566,120604310324.10301,1.064102564117969,0.9454450946052141,1.182760033630724
kp10,3.441080566,175769937782.71973,0.9438202246886594,0.800245601675406,1.0873948477019129
kp10,3.441080566,265249325370.85263,1.0,0.8285014148569466,1.1714985851430535
kp10,3.441080566,378855332979.1219,0.9705882352874842,0.7334093652249759,1.2077671053499923
kp10,3.441080566,548255908848.8078,1.0370370370136615,0.757322708328584,1.3167513656987389
kp10,3.441080566,804396359649.6837,0.8421052631673357,0.5563701505218468,1.1278403758128246
kp10,3.441080566,1157615492866.7854,1.1428571428536651,0.551372377705444,1.7343419080018863
kp10,3.441080566,1731786245538.428,0.8888888888489164,0.45696652629575096,1.3208112514020818
kp1,8.519850605,119809871.45260327,3.689365387208112,3.67483890777404,3.7038918666421834
kp1,8.519850605,176497653.51771295,3.815878219208806,3.7972713358554735,3.8344851025621383
kp1,8.519850605,259028424.66234425,3.9722457746480524,3.948619069555365,3.99587247974074
kp1,8.519850605,380512850.24409646,4.15046574862215,4.11959911444451,4.1813323827997895
kp1,8.519850605,558150136.8375481,4.415524796500769,4.374741971858767,4.456307621142771
kp1,8.519850605,819316655.9417634,4.569352707963708,4.5164240186217395,4.622281397305677
kp1,8.519850605,1202403629.4588885,4.810273850045499,4.7395454447625625,4.881002255328436
kp1,8.519850605,1758759260.2349389,5.047096215059755,4.953190195629728,5.141002234489782
kp1,8.519850605,2582189638.751536,5.348039215604788,5.219035562618925,5.477042868590652
kp1,8.519850605,3787011558.485888,5.62520593078817,5.449995660093919,5.800416201482422
kp1,8.519850605,5565971801.918526,5.972181551983807,5.725270521118107,6.219092582849507
kp1,8.519850605,8157587256.39833,6.24421593837367,5.9032116427690955,6.585220233978244
kp1,8.519850605,11953571097.853817,6.545893719608909,6.057404881999937,7.034382557217881
kp1,8.519850605,17580998019.203457,6.999999999836145,6.26620061417831,7.73379938549398
kp1,8.519850605,25524774707.008934,5.140845070396336,4.474034994298592,5.80765514649408
kp1,8.519850605,38134346291.154564,5.562499999948411,4.494442384322213,6.630557615574609
kp1,8.519850605,55347107741.36182,6.538461538602705,4.591275386685174,8.485647690520237
kp1,8.519850605,80834853115.74753,6.000000000068163,3.1017246507848952,8.898275349351431
kp1,8.519850605,115778180053.60184,5.50000000001065,2.5104348142886135,8.489565185732687
kp10,8.519850605,119656422.8666772,2.0068425482526107,1.9982634923858897,2.015421604119332
kp10,8.519850605,176257706.25750092,1.8970402607459895,1.8868647978914233,1.9072157236005558
kp10,8.519850605,258594193.9990168,1.7992199423551336,1.7872891455087465,1.8111507392015207
kp10,8.519850605,379877423.00949264,1.7074475197162875,1.6930935735987096,1.7218014658338654
kp10,8.519850605,557391117.2026559,1.599012311324917,1.5820104708973688,1.6160141517524653
kp10,8.519850605,817911014.0090564,1.4983487450585329,1.4780488205810474,1.5186486695360184
kp10,8.519850605,1200465781.8140066,1.392876320038844,1.3684517420962572,1.417300897981431
kp10,8.519850605,1756953322.628431,1.3279399017615645,1.2980534544072393,1.3578263491158897
kp10,8.519850605,2574040979.671481,1.2196078431334878,1.1831800261516192,1.2560356601153564
kp10,8.519850605,3779077421.530963,1.128500823749823,1.0840194175602273,1.1729822299394188
kp10,8.519850605,5565031773.136928,1.0849194729059817,1.0273711007941708,1.1424678450177925
kp10,8.519850605,8139534725.900622,1.0,0.928296526062637,1.071703473937363
kp10,8.519850605,11876174412.961357,1.053140096592905,0.9509362612493858,1.1553439319364243
kp10,8.519850605,17519824200.311417,1.0,0.8613249509502761,1.138675049049724
kp10,8.519850605,25423913894.449745,0.9295774647958313,0.77063324888197,1.0885216807096925
kp10,8.519850605,37839437474.04528,0.8437500000158094,0.6232630345177551,1.0642369655138635
kp10,8.519850605,53978457511.75998,1.0,0.6077677297125015,1.3922322702874985
kp10,8.519850605,82087706347.06877,1.6000000000068164,0.6878596599207307,2.512140340092902
kp10,8.519850605,112071850643.10187,1.0,0.2928932188285147,1.7071067811714853
kp1,10.51901923,119760329.70036656,6.168436012944131,6.137578685512865,6.199293340375397
kp1,10.51901923,176328508.01859626,6.545213600721956,6.503713804111194,6.586713397332718
kp1,10.51901923,258630022.2350336,7.031956653986174,6.976075482600907,7.087837825371441
kp1,10.51901923,380155475.9384436,7.485190279435402,7.408873615010675,7.561506943860129
kp1,10.51901923,557547861.7586789,7.9975928990701,7.893545799790666,8.101639998349533
kp1,10.51901923,817571591.9859035,8.589915101555437,8.444337504455836,8.735492698655039
kp1,10.51901923,1196947408.5394673,9.494236975509358,9.279910564667073,9.708563386351642
kp1,10.51901923,1755748472.6917121,10.219155844608862,9.914097964708874,10.524213724508849
kp1,10.51901923,2573165067.3837314,10.731914893615478,10.309315856293628,11.154513930937329
kp1,10.51901923,3790134137.0206165,12.033802816889915,11.369107158361016,12.698498475418814
kp1,10.51901923,5515437534.274145,11.67839195971164,10.815816551241625,12.540967368181654
kp1,10.51901923,8188826492.701281,12.85567010285281,11.500557888921675,14.210782316783947
kp1,10.51901923,11992185189.74656,13.260869565261686,11.233279803178805,15.288459327344567
kp1,10.51901923,17547072116.9726,21.307692308493937,15.260916665177337,27.354467951810538
