family,snapshot,redshift,k_hMpc,P_Mpc_over_h_cubed,source_file
PL_128_1024,0016,42.74345637,2.8965922666e+00,7.9334226981e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,2.9457330271e+00,7.5668425766e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,2.9949888321e+00,7.3856719998e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.0441492023e+00,7.1156868342e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.0927868823e+00,6.9085911756e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.1415026693e+00,6.6371063889e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.1910426302e+00,6.3062710390e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.2403853869e+00,6.2652894196e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.2894852707e+00,6.0159230144e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.3385042044e+00,5.8145560504e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.3876646341e+00,5.5766121749e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.4368584080e+00,5.4105877540e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.4855323892e+00,5.2560210527e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.5345198846e+00,5.0743385975e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.5837123314e+00,4.8976259014e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.6330104238e+00,4.7963538178e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.6821389730e+00,4.5835924466e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.7310946731e+00,4.4303610022e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.7803195605e+00,4.3303542630e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.8292961081e+00,4.1772882045e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.8781195274e+00,3.9949810925e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.9270773108e+00,3.9385232672e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.9762837992e+00,3.7793950116e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.0255837307e+00,3.6248602544e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.0747355931e+00,3.5506324814e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.1236611289e+00,3.4029004373e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.1727813891e+00,3.2982893393e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.2221126114e+00,3.1694069213e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.2710755860e+00,3.1030701681e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.3199962763e+00,3.0167989870e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.3690937585e+00,2.8914678517e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.4183950744e+00,2.7826141032e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.4676132672e+00,2.6732541298e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.5165830167e+00,2.5853166957e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.5656677214e+00,2.5086531674e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.6146035544e+00,2.4288852232e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.6634062219e+00,2.3259930934e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.7122721964e+00,2.2539275698e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.7614749841e+00,2.1919378875e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.8110299025e+00,2.0631611983e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.8601738548e+00,2.0095959418e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.9091096613e+00,1.9178363347e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.9581730139e+00,1.8497573540e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.0073408611e+00,1.8291499213e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.0565403674e+00,1.7297705387e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.1052869206e+00,1.6612052388e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.1544037852e+00,1.6027673872e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.2037120330e+00,1.5418952083e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.2526576197e+00,1.4676098793e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
