model,z,snap,box,k_hMpc,P_Mpc_over_h_cubed,source_file
PL,19.40664523021168,24,25,13.324942706400424,0.0005498181330445876,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,13.576176707479814,0.000521988630088872,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,13.82555646698322,0.0004990985253342519,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,14.075222265910044,0.0004670763954430204,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,14.32811852917941,0.00045167247544942264,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,14.580461685752585,0.0004296139886671794,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,14.830552404971625,0.00041005339521386767,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,15.08215309851155,0.0003938859769587148,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,15.334342820333537,0.0003764936016938696,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,15.5860439155924,0.0003616581101392308,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,15.835068837290374,0.0003466439435265763,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
