model,z,x,y,lo,hi
kp10,10.51901923,3758374042.9,1.2249999999205428,1.108260439367915,1.3417395604731706
kp10,10.51901923,5308844442.3,1.026785714293034,0.8904734867804351,1.1630979418056326
kp10,10.51901923,7498942093.3,1.0338983050735864,0.8451089412251571,1.2226876689220156
kp10,10.51901923,10592537252.0,0.9583333333455952,0.6786954640087142,1.2379712026824763
kp10,10.51901923,14962356561.0,1.0909090908959573,0.6355379400167283,1.5462802417751864
kp10,10.51901923,21134890398.0,1.0,0.36754446796591655,1.6324555320340834
kp10,10.51901923,42169650343.0,1.0,0.29289321878223873,1.7071067812177612
kp10,10.51901923,59566214353.0,1.0,-0.41421356237309515,2.414213562373095
kp1,8.519850605,237137370.57,4.986754447866988,4.95255009343142,5.020958802302556
kp1,8.519850605,334965439.16,5.132610701115522,5.090009952753914,5.175211449477129
kp1,8.519850605,473151258.96,5.385773624028017,5.331219568636568,5.440327679419466
kp1,8.519850605,668343917.57,5.467321105501545,5.399740369152127,5.534901841850964
kp1,8.519850605,944060876.29,5.783237566997155,5.69507436035699,5.871400773637319
kp1,8.519850605,1333521432.2,5.892638036844706,5.78101885919704,6.004257214492371
kp1,8.519850605,1883649089.5,6.476335877565583,6.319361848057524,6.633309907073641
kp1,8.519850605,2660725059.8,6.529770992417837,6.3360377213729535,6.72350426346272
kp1,8.519850605,3758374042.9,6.821846553977536,6.558430372868664,7.085262735086407
kp1,8.519850605,5308844442.3,7.8830275228926805,7.4822680648272755,8.283786980958086
kp1,8.519850605,7498942093.3,7.681481481193251,7.184503058432596,8.178459903953907
kp1,8.519850605,10592537252.0,8.589928057493642,7.8200976917535785,9.359758423233705
kp1,8.519850605,14962356561.0,8.267441860588066,7.323562946516022,9.211320774660111
kp1,8.519850605,21134890398.0,6.814814814875367,5.821722788111753,7.807906841638982
kp1,8.519850605,29853826189.0,9.699999999223087,7.421952589953591,11.978047408492582
kp1,8.519850605,42169650343.0,9.250000000084608,6.439120837409842,12.060879162759374
kp1,8.519850605,59566214353.0,9.600000000127132,5.088680902515557,14.111319097738708
kp1,8.519850605,84139514165.0,4.000000000044143,1.7639320224456472,6.236067977642639
kp1,8.519850605,118850222740.0,8.999999999470285,2.291796067577744,15.708203931362826
kp10,8.519850605,237137370.57,1.990908378435593,1.9756325815464935,2.0061841753246923
kp10,8.519850605,334965439.16,1.8634686347218472,1.845928512050444,1.8810087573932504
kp10,8.519850605,473151258.96,1.7377120110123703,1.7174221526406503,1.7580018693840902
kp10,8.519850605,668343917.57,1.6220614828156563,1.59862305333908,1.6454999122922327
kp10,8.519850605,944060876.29,1.4939568060323225,1.4667863559934018,1.5211272560712432
kp10,8.519850605,1333521432.2,1.385889570524235,1.3540416792024768,1.417737461845993
kp10,8.519850605,1883649089.5,1.3760814248371538,1.3352897583207177,1.4168730913535899
kp10,8.519850605,2660725059.8,1.1923664122214985,1.147695400451798,1.237037423991199
kp10,8.519850605,3758374042.9,1.1716514954393784,1.1141298737665575,1.2291731171121993
kp10,8.519850605,5308844442.3,1.0412844036563493,0.9714622571710606,1.111106550141638
kp10,8.519850605,7498942093.3,0.9851851851900294,0.9000757777308948,1.070294592649164
kp10,8.519850605,10592537252.0,1.0719424460457243,0.945536594776745,1.1983482973147035
kp10,8.519850605,14962356561.0,0.9883720930268368,0.8372041021001146,1.139540083953559
kp10,8.519850605,21134890398.0,0.9074074074049854,0.7283773245603475,1.0864374902496232
kp10,8.519850605,29853826189.0,1.0,0.6837722339941257,1.3162277660058743
kp10,8.519850605,42169650343.0,0.8333333333406905,0.47652131726407104,1.19014534941731
kp10,8.519850605,59566214353.0,1.2000000000070628,0.4733639150262322,1.9266360849878934
kp10,8.519850605,84139514165.0,1.0,0.29289321878223873,1.7071067812177612
kp10,8.519850605,118850222740.0,1.0,3.8737568708313574e-11,1.9999999999612625
kp1,3.441080566,237137370.57,2.048706141741264,2.0386428626448545,2.058769420837674
kp1,3.441080566,334965439.16,2.0501109631797907,2.0383308107516163,2.061891115607965
kp1,3.441080566,473151258.96,2.0545160897513983,2.040687332267718,2.0683448472350787
kp1,3.441080566,668343917.57,2.043734929706607,2.0276535967240954,2.0598162626891185
kp1,3.441080566,944060876.29,2.0744791066711494,2.055319332010728,2.0936388813315707
kp1,3.441080566,1333521432.2,2.084771614292681,2.0620502702203494,2.107492958365013
kp1,3.441080566,1883649089.5,2.1227469768695095,2.095247984490099,2.15024596924892
kp1,3.441080566,2660725059.8,2.111784404381595,2.079413029986781,2.144155778776409
kp1,3.441080566,3758374042.9,2.072043010768775,2.035044303294927,2.109041718242623
kp1,3.441080566,5308844442.3,2.1720262253917477,2.1256471114144246,2.218405339369071
kp1,3.441080566,7498942093.3,2.1196656401810796,2.0657284911712486,2.1736027891909107
kp1,3.441080566,10592537252.0,2.165408805002224,2.0997510105418606,2.231066599462588
kp1,3.441080566,14962356561.0,2.247933884383281,2.1660532088503186,2.3298145599162434
kp1,3.441080566,21134890398.0,2.1745049505072203,2.082075041749361,2.2669348592650795
kp1,3.441080566,29853826189.0,2.087565674259537,1.9813202777921022,2.1938110707269725
kp1,3.441080566,42169650343.0,2.052238805998011,1.9274113337903063,2.1770662782057157
kp1,3.441080566,59566214353.0,2.1621621621068856,1.9996872471808664,2.3246370770329046
kp1,3.441080566,84139514165.0,2.3419354838074677,2.11722639166599,2.5666445759489456
kp1,3.441080566,118850222740.0,2.0487804878756046,1.8234301377835034,2.274130837967706
kp1,3.441080566,167880401810.0,2.4117647058838805,2.0639062639499874,2.7596231478177735
kp1,3.441080566,237137370570.0,1.4406779660763327,1.1965527214799032,1.6848032106727622
kp1,3.441080566,334965439160.0,1.750000000033107,1.4031390768871923,2.0968609231790216
kp1,3.441080566,473151258960.0,1.549999999982343,1.1054496653955441,1.994550334569142
kp1,3.441080566,668343917570.0,1.3333333333333333,0.9175936236826249,1.7490730429840418
kp1,3.441080566,944060876290.0,1.5,0.8876275643088316,2.112372435691168
kp1,3.441080566,1333521432200.0,2.666666666705905,0.861324798948709,4.472008534463101
kp1,3.441080566,1883649089500.0,1.9999999999117142,0.2679491924385389,3.7320508073848897
kp10,3.441080566,237137370.57,1.6717685971821048,1.6632586002762393,1.6802785940879703
kp10,3.441080566,334965439.16,1.6163781624875095,1.6066903404720247,1.6260659845029943
kp10,3.441080566,473151258.96,1.5424488054734218,1.5315170812751835,1.55338052967166
kp10,3.441080566,668343917.57,1.4532302319565895,1.4410559680275308,1.4654044958856483
kp10,3.441080566,944060876.29,1.4045700471633875,1.3906275517832352,1.4185125425435399
kp10,3.441080566,1333521432.2,1.3303363570635882,1.3145608508754763,1.3461118632517002
kp10,3.441080566,1883649089.5,1.2848505589729609,1.2665504162901657,1.303150701655756
kp10,3.441080566,2660725059.8,1.2315420188030946,1.2106077039816547,1.2524763336245344
kp10,3.441080566,3758374042.9,1.1602150537907154,1.1369988468777847,1.1834312607036461
kp10,3.441080566,5308844442.3,1.1336247268199846,1.106144823294926,1.1611046303450432
kp10,3.441080566,7498942093.3,1.0725912891015683,1.0413179503459182,1.1038646278572184
