box_hinv_Mpc,model,label,snapshot,redshift,reference_model,k_hMpc,P_sim_Mpc_over_h_cubed,P_hmcode_Mpc_over_h_cubed,sim_over_hmcode,sim_over_hmcode_minus_1,source_file
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,7.8224012374e+01,8.0783113083e-02,9.6255539613e-02,8.3925676806e-01,-1.6074323194e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,9.0151151638e+01,5.2911302437e-02,6.7757554938e-02,7.8089155498e-01,-2.1910844502e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,1.0396190842e+02,3.3826244632e-02,4.7442446232e-02,7.1299537269e-01,-2.8700462731e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,1.1990776394e+02,2.2181899313e-02,3.3152119124e-02,6.6909446209e-01,-3.3090553791e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,3.2072956064e-01,5.0215197904e+02,1.1889699301e+03,4.2234203432e-01,-5.7765796568e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,5.6066196834e-01,2.3295471420e+02,6.4017498884e+02,3.6389224549e-01,-6.3610775451e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,7.8770010985e-01,1.4210060599e+02,4.6541157058e+02,3.0532246074e-01,-6.9467753926e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,1.0205350124e+00,1.0775779615e+02,3.6921313781e+02,2.9185796797e-01,-7.0814203203e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,1.2811623763e+00,1.0366218506e+02,2.9789242301e+02,3.4798530292e-01,-6.5201469708e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,1.5386083751e+00,7.9627232251e+01,2.4552955437e+02,3.2430813658e-01,-6.7569186342e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,1.7773229369e+00,7.9267116440e+01,2.0720181739e+02,3.8255994778e-01,-6.1744005222e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,2.0169221746e+00,6.8766255993e+01,1.7627296253e+02,3.9011232922e-01,-6.0988767078e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,2.2763702483e+00,6.2032074577e+01,1.4932766103e+02,4.1540913552e-01,-5.8459086448e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,2.5367369098e+00,5.4891393812e+01,1.2756510420e+02,4.3030101496e-01,-5.6969898504e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,2.8990729604e+00,4.7080159812e+01,1.0423108313e+02,4.5169020984e-01,-5.4830979016e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,3.4029375450e+00,4.2293245267e+01,8.0888063347e+01,5.2286139038e-01,-4.7713860962e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,3.8962643222e+00,3.4317653406e+01,6.4776949961e+01,5.2978186573e-01,-4.7021813427e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,4.5293257682e+00,2.6926953422e+01,5.0221521932e+01,5.3616362839e-01,-4.6383637161e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,5.2810827998e+00,2.3381713966e+01,3.8468640161e+01,6.0781233411e-01,-3.9218766589e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,6.0322119887e+00,1.7855724374e+01,3.0383381410e+01,5.8768061831e-01,-4.1231938169e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,6.9129667849e+00,1.5207860760e+01,2.3746119209e+01,6.4043562768e-01,-3.5956437232e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,7.9160323189e+00,1.2220003756e+01,1.8502506912e+01,6.6045124668e-01,-3.3954875332e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,9.1677843868e+00,9.6934446641e+00,1.4053095858e+01,6.8977289861e-01,-3.1022710139e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,1.0676813721e+01,7.7755540581e+00,1.0509459353e+01,7.3986242265e-01,-2.6013757735e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,1.2307894307e+01,6.1374793338e+00,7.9784552006e+00,7.6925660163e-01,-2.3074339837e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,1.4191236202e+01,4.6769321079e+00,6.0303440348e+00,7.7556638244e-01,-2.2443361756e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,1.6325873207e+01,3.6519994096e+00,4.5604865181e+00,8.0079162500e-01,-1.9920837500e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,1.8834933875e+01,2.8374228526e+00,3.4173002438e+00,8.3031125453e-01,-1.6968874547e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,2.1724701131e+01,2.1994586252e+00,2.5533250367e+00,8.6140957128e-01,-1.3859042872e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,2.4988160556e+01,1.6810961209e+00,1.9126846956e+00,8.7891962788e-01,-1.2108037212e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,2.8755021694e+01,1.2800226507e+00,1.4275520995e+00,8.9665564646e-01,-1.0334435354e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,3.3148095750e+01,9.3233179713e-01,1.0587295494e+00,8.8061374850e-01,-1.1938625150e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,3.8295411886e+01,6.9427788335e-01,7.7969325813e-01,8.9045002777e-01,-1.0954997223e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,4.4197519067e+01,4.9953966837e-01,5.7411110751e-01,8.7010974327e-01,-1.2989025673e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,5.0976964633e+01,3.6423144490e-01,4.2243761372e-01,8.6221357445e-01,-1.3778642555e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,5.8762683884e+01,2.6244119555e-01,3.1059768878e-01,8.4495540384e-01,-1.5504459616e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,6.7800053809e+01,1.8458198887e-01,2.2754605159e-01,8.1118519780e-01,-1.8881480220e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,7.8224012374e+01,1.2672797087e-01,1.6639073248e-01,7.6162878171e-01,-2.3837121829e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,9.0151151638e+01,8.6849078869e-02,1.2182227263e-01,7.1291625903e-01,-2.8708374097e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,1.0396190842e+02,5.9467035633e-02,8.8891350908e-02,6.6898562150e-01,-3.3101437850e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,BT $k_p=1$ 25,0056,-2.2204460493e-16,HMcode2020,1.1990776394e+02,4.1512593139e-02,6.4791986320e-02,6.4070567205e-01,-3.5929432795e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP10,BT $k_p=10$ 25,0056,-2.2204460493e-16,HMcode2020,3.2072956064e-01,5.0328520699e+02,1.2177777783e+03,4.1328164790e-01,-5.8671835210e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp10_ms1.5_25_snap0056.npz
25,BTKP10,BT $k_p=10$ 25,0056,-2.2204460493e-16,HMcode2020,5.6066196834e-01,2.3440246293e+02,6.5516378067e+02,3.5777689464e-01,-6.4222310536e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp10_ms1.5_25_snap0056.npz
