model,target_mass_msun,bin_index,r_over_r200m,rho_msun_kpc3_median,rho_msun_kpc3_p16_bootstrap_median,rho_msun_kpc3_p84_bootstrap_median,nhalo,n_bootstrap,power_radius_over_r200m,kappa_threshold,reference_overdensity_crit,source_cache
BT_deep,1e+11,6,0.04466835922,2903343.219,2847899.954,2949617.724,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,7,0.05623413252,1848516.302,1804664.469,1902410.754,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,8,0.07079457844,1152889.65,1145541.6,1189700.325,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,9,0.08912509381,706700.59,696623.431,725353.1641,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,10,0.1122018454,424607.9036,420671.2744,429017.6498,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,11,0.1412537545,241793.7803,239213.6271,242884.5623,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,12,0.177827941,138463.6617,137838.5792,140954.5982,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,13,0.2238721139,78524.76917,77325.01202,80136.75515,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,14,0.2818382931,42858.75382,42634.27632,43163.67591,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,15,0.3548133892,22979.60408,22666.78387,23268.92048,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,16,0.4466835922,11883.41248,11706.47084,12172.26,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,17,0.5623413252,6002.672554,5922.395104,6240.700938,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,18,0.7079457844,3013.707544,2963.856834,3099.994305,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,19,0.8912509381,1502.513394,1471.451148,1561.357059,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_soft,1e+08,0,0.01122018454,163176925.9,148202111,177511981.5,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,1,0.01412537545,79039360.75,76466481.61,88624874.89,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,2,0.0177827941,42597722.41,41221208.76,44115497.85,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,3,0.02238721139,20177473.63,18987311.46,20536929.23,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,4,0.02818382931,10777111.14,10445020.05,11177151.69,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,5,0.03548133892,5573566.977,5374467.01,5866543.371,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,6,0.04466835922,4905417.386,4707650.08,5312900.161,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,7,0.05623413252,3406463.239,2841143.601,3724367.625,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,8,0.07079457844,2641975.856,2527447.37,2711051.002,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,9,0.08912509381,1522114.807,1463919.383,1605346.13,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,10,0.1122018454,875199.0661,820190.9258,927396.8161,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,11,0.1412537545,440109.9519,425945.171,460325.425,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,12,0.177827941,165546.6892,160448.6184,170874.1423,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,13,0.2238721139,67029.78076,64623.66821,72800.19018,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,14,0.2818382931,27732.94475,25248.3428,32263.02372,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,15,0.3548133892,13320.14947,11344.67508,14725.42435,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,16,0.4466835922,5513.236473,5144.07499,6470.011079,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,17,0.5623413252,3134.461243,2994.550757,3718.653766,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,18,0.7079457844,1644.170647,1413.007113,1838.349251,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+08,19,0.8912509381,675.2510593,610.8628416,718.8509989,100,160,0.5312036904,0.6,63,BTsoft_M1e+08_N100_B160_all.npz
BT_soft,1e+09,0,0.01122018454,27302102.23,26515947.2,30238210.89,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,1,0.01412537545,20043097.33,18160710.31,22390992.22,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,2,0.0177827941,16869863.6,15784944.02,18066769.5,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,3,0.02238721139,15697784.15,14584137.18,17394873.69,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,4,0.02818382931,12709439.2,11000649.82,13263771.46,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,5,0.03548133892,9507593.595,8844096.807,10163650.53,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,6,0.04466835922,6386793.384,6113956.04,6569309.805,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,7,0.05623413252,4029332,3953027.285,4170441.175,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,8,0.07079457844,2236166.854,2152351.326,2289341.326,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,9,0.08912509381,1128450.204,1114199.436,1159233.111,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,10,0.1122018454,564649.7066,550386.0807,588969.9205,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,11,0.1412537545,278652.6854,272862.5588,284577.4131,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,12,0.177827941,135014.8737,133460.016,139197.1206,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,13,0.2238721139,64688.57198,62598.06253,66037.72361,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,14,0.2818382931,31875.86367,31259.9649,32739.63045,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,15,0.3548133892,16610.14943,16085.5451,17114.13476,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,16,0.4466835922,7793.529973,7472.379929,7925.634062,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,17,0.5623413252,3794.482073,3569.921498,4038.0683,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,18,0.7079457844,1762.108575,1690.133355,1840.55747,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+09,19,0.8912509381,768.4070431,730.4054234,787.6274036,100,160,0.1742515544,0.6,63,BTsoft_M1e+09_N100_B160_all.npz
BT_soft,1e+10,0,0.01122018454,33239269.46,31538782.16,37102336.06,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,1,0.01412537545,29235879.5,27183237,30671711.58,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,2,0.0177827941,26576970.89,24306145.26,27305500.7,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,3,0.02238721139,19292549.27,18099929.78,20264024.39,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,4,0.02818382931,12701358.14,12211431.84,13759103.83,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,5,0.03548133892,8319008.14,8123546.292,8519248.729,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,6,0.04466835922,4886944.262,4809650.103,5013131.108,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,7,0.05623413252,2978329.178,2919842.489,3013523.806,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,8,0.07079457844,1703936.017,1642370.894,1724595.515,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,9,0.08912509381,951043.3092,942423.4306,963902.873,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,10,0.1122018454,531171.0964,520625.8595,540491.8771,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,11,0.1412537545,284147.8931,276965.6032,285962.5588,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,12,0.177827941,144900.5111,143270.2689,146529.6845,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,13,0.2238721139,75029.69429,73841.66467,76052.71531,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,14,0.2818382931,37648.38981,36541.21048,38282.72022,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,15,0.3548133892,18435.07664,18205.00966,18610.4579,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,16,0.4466835922,8796.631057,8488.501349,8901.142812,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,17,0.5623413252,4231.365126,4171.990398,4339.433676,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,18,0.7079457844,1923.551423,1854.387131,1997.077367,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+10,19,0.8912509381,959.5624264,912.3561836,1003.633128,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,1e+11,0,0.01122018454,12087627.83,10480516.22,14322675.71,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,1,0.01412537545,12757037.13,11872543.2,15707065.64,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,2,0.0177827941,13881926.82,11221042.51,16296199.84,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,3,0.02238721139,12793521.69,11332542.47,15011916.16,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,4,0.02818382931,9502740.679,8888835.364,9983403.955,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,5,0.03548133892,6325695.365,6177982.713,6722412.334,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,6,0.04466835922,4073003.75,3874805.84,4111925.28,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,7,0.05623413252,2441452.214,2395690.01,2472900.006,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,8,0.07079457844,1464442.776,1449278.226,1475385.705,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,9,0.08912509381,838284.8691,831099.0889,847651.1083,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,10,0.1122018454,471577.7741,465829.7559,478385.4656,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,11,0.1412537545,264911.7565,262169.5472,267808.6669,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,12,0.177827941,146613.6048,143897.4413,147236.164,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,13,0.2238721139,77243.21998,76260.18569,77530.1956,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
