ratio,target_mass_msun,bin_index,r_over_r200m,rho_ratio_median,rho_ratio_lower_from_bootstrap_bounds,rho_ratio_upper_from_bootstrap_bounds,nhalo_bt,nhalo_pl,n_bootstrap,kappa_threshold
BT_deep/PL,31622776601.6838,18,0.7079457844,1.011245398,0.9549019805,1.062076088,100,100,160,0.6
BT_deep/PL,31622776601.6838,19,0.8912509381,0.9834278421,0.9397738594,1.034583742,100,100,160,0.6
BT_deep/PL,100000000000,0,0.01122018454,0.8515367657,0.4805329972,1.255445785,100,100,160,0.6
BT_deep/PL,100000000000,1,0.01412537545,0.7723777915,0.5637302213,0.9787494609,100,100,160,0.6
BT_deep/PL,100000000000,2,0.0177827941,0.8314733493,0.5853958363,1.003780863,100,100,160,0.6
BT_deep/PL,100000000000,3,0.02238721139,0.8546685436,0.6501991098,1.002528413,100,100,160,0.6
BT_deep/PL,100000000000,4,0.02818382931,0.9738698689,0.8705902637,1.054341702,100,100,160,0.6
BT_deep/PL,100000000000,5,0.03548133892,0.9788478581,0.931326883,1.092689259,100,100,160,0.6
BT_deep/PL,100000000000,6,0.04466835922,1.040479348,0.9668582659,1.06888969,100,100,160,0.6
BT_deep/PL,100000000000,7,0.05623413252,1.003879586,0.9590677913,1.104365505,100,100,160,0.6
BT_deep/PL,100000000000,8,0.07079457844,1.031062024,1.002767575,1.081000743,100,100,160,0.6
BT_deep/PL,100000000000,9,0.08912509381,1.019672819,0.9918184172,1.065251601,100,100,160,0.6
BT_deep/PL,100000000000,10,0.1122018454,1.025059245,0.9906571624,1.051455353,100,100,160,0.6
BT_deep/PL,100000000000,11,0.1412537545,1.004900144,0.9813954998,1.015107293,100,100,160,0.6
BT_deep/PL,100000000000,12,0.177827941,1.003528975,0.9863167877,1.03447021,100,100,160,0.6
BT_deep/PL,100000000000,13,0.2238721139,1.007711313,0.9838459553,1.036754293,100,100,160,0.6
BT_deep/PL,100000000000,14,0.2818382931,0.9998159533,0.9897298916,1.015133644,100,100,160,0.6
BT_deep/PL,100000000000,15,0.3548133892,1.010146306,0.9927009917,1.034154995,100,100,160,0.6
