model,snapshot,redshift,log10_M200c_center_Msun,log10_M200c_left_Msun,log10_M200c_right_Msun,log10_c200c_median,log10_c200c_p16,log10_c200c_p84,n_halos_bin,n_valid_snapshot,n_total_snapshot,source_file
BT_soft,0056,0,9.8750000000e+00,9.7500000000e+00,1.0000000000e+01,1.5472625055e+00,1.3432243813e+00,1.8024865069e+00,5696,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.0125000000e+01,1.0000000000e+01,1.0250000000e+01,1.4888393762e+00,1.2857494829e+00,1.7312728138e+00,3283,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.0375000000e+01,1.0250000000e+01,1.0500000000e+01,1.4397651866e+00,1.2450856225e+00,1.6335834487e+00,1950,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.0625000000e+01,1.0500000000e+01,1.0750000000e+01,1.3652128420e+00,1.1868542376e+00,1.5687209825e+00,1138,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.0875000000e+01,1.0750000000e+01,1.1000000000e+01,1.3327972766e+00,1.1305218681e+00,1.4990652597e+00,687,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.1125000000e+01,1.1000000000e+01,1.1250000000e+01,1.2648825466e+00,1.0740066276e+00,1.4064986594e+00,437,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.1375000000e+01,1.1250000000e+01,1.1500000000e+01,1.2226382122e+00,1.0270614403e+00,1.3509955422e+00,235,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.1625000000e+01,1.1500000000e+01,1.1750000000e+01,1.1482895842e+00,9.6835460242e-01,1.2890136699e+00,137,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.1875000000e+01,1.1750000000e+01,1.2000000000e+01,1.1384206785e+00,9.8822363632e-01,1.2802356700e+00,84,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.2125000000e+01,1.2000000000e+01,1.2250000000e+01,1.0398281653e+00,8.9284084154e-01,1.1810267572e+00,47,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.2375000000e+01,1.2250000000e+01,1.2500000000e+01,9.6625053649e-01,8.3600178087e-01,1.1520963462e+00,26,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.2625000000e+01,1.2500000000e+01,1.2750000000e+01,9.8141102795e-01,8.7832728734e-01,1.0322172543e+00,15,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.2875000000e+01,1.2750000000e+01,1.3000000000e+01,9.7106997951e-01,7.2773279836e-01,1.0665348049e+00,9,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.3125000000e+01,1.3000000000e+01,1.3250000000e+01,7.6525012267e-01,7.1835842843e-01,8.9102872545e-01,13,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,1.3375000000e+01,1.3250000000e+01,1.3500000000e+01,7.4409500690e-01,7.0229919208e-01,8.8440993514e-01,3,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,8.3750000000e+00,8.2500000000e+00,8.5000000000e+00,1.3754818968e+00,1.1251672910e+00,1.6758155425e+00,102876,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,8.6250000000e+00,8.5000000000e+00,8.7500000000e+00,1.3570744212e+00,1.1310845562e+00,1.6416019997e+00,69083,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,8.8750000000e+00,8.7500000000e+00,9.0000000000e+00,1.3319405090e+00,1.1196086311e+00,1.5936985233e+00,39215,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,9.1250000000e+00,9.0000000000e+00,9.2500000000e+00,1.3020406908e+00,1.1008651281e+00,1.5472234652e+00,22319,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,9.3750000000e+00,9.2500000000e+00,9.5000000000e+00,1.2654380038e+00,1.0706267100e+00,1.4890366435e+00,12256,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,9.6250000000e+00,9.5000000000e+00,9.7500000000e+00,1.2296381840e+00,1.0484481056e+00,1.4426390563e+00,6993,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,9.8750000000e+00,9.7500000000e+00,1.0000000000e+01,1.1845341293e+00,1.0045662895e+00,1.3868638446e+00,3907,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
