model,snapshot,redshift,log10_M200c_center_Msun,log10_c200c_p16,log10_c200c_p84,sigma_68_log10_c,n_halos_bin,source_file
BTKP1,0056,0.0000000000e+00,1.0375000000e+01,1.2450856225e+00,1.6335834487e+00,1.9424891310e-01,1950,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,1.0625000000e+01,1.1868542376e+00,1.5687209825e+00,1.9093337245e-01,1138,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,1.0875000000e+01,1.1305218681e+00,1.4990652597e+00,1.8427169580e-01,687,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,1.1125000000e+01,1.0740066276e+00,1.4064986594e+00,1.6624601590e-01,437,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,1.1375000000e+01,1.0270614403e+00,1.3509955422e+00,1.6196705095e-01,235,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,1.1625000000e+01,9.6835460242e-01,1.2890136699e+00,1.6032953374e-01,137,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,1.1875000000e+01,9.8822363632e-01,1.2802356700e+00,1.4600601684e-01,84,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,1.2125000000e+01,8.9284084154e-01,1.1810267572e+00,1.4409295783e-01,47,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,1.2375000000e+01,8.3600178087e-01,1.1520963462e+00,1.5804728267e-01,26,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,1.2625000000e+01,8.7832728734e-01,1.0322172543e+00,7.6944983480e-02,15,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,1.2875000000e+01,7.2773279836e-01,1.0665348049e+00,1.6940100327e-01,9,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,1.3125000000e+01,7.1835842843e-01,8.9102872545e-01,8.6335148510e-02,13,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,1.3375000000e+01,7.0229919208e-01,8.8440993514e-01,9.1055371530e-02,3,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,8.3750000000e+00,1.1251672910e+00,1.6758155425e+00,2.7532412575e-01,102876,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,8.6250000000e+00,1.1310845562e+00,1.6416019997e+00,2.5525872175e-01,69083,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,8.8750000000e+00,1.1196086311e+00,1.5936985233e+00,2.3704494610e-01,39215,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,9.1250000000e+00,1.1008651281e+00,1.5472234652e+00,2.2317916855e-01,22319,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,9.3750000000e+00,1.0706267100e+00,1.4890366435e+00,2.0920496675e-01,12256,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,9.6250000000e+00,1.0484481056e+00,1.4426390563e+00,1.9709547535e-01,6993,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,9.8750000000e+00,1.0045662895e+00,1.3868638446e+00,1.9114877755e-01,3907,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,1.0125000000e+01,9.8026266276e-01,1.3286223144e+00,1.7417982582e-01,2241,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,1.0375000000e+01,9.3502467661e-01,1.2836091772e+00,1.7429225030e-01,1282,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,1.0625000000e+01,9.1825237484e-01,1.2336477913e+00,1.5769770823e-01,775,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,1.0875000000e+01,8.9336321014e-01,1.2091411980e+00,1.5788899393e-01,438,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
