model,snapshot,redshift,log10_M200c_center_Msun,log10_c200c_p16,log10_c200c_p84,sigma_68_log10_c,n_halos_bin,source_file
PL,0032,8.5198506050e+00,9.3750000000e+00,2.1178702671e-01,5.9915419917e-01,1.9368358623e-01,2517,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
PL,0032,8.5198506050e+00,9.6250000000e+00,2.3870426893e-01,6.2169784469e-01,1.9149678788e-01,1083,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
PL,0032,8.5198506050e+00,9.8750000000e+00,2.1418281454e-01,6.2531654329e-01,2.0556686437e-01,447,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
PL,0032,8.5198506050e+00,1.0125000000e+01,2.7586159729e-01,6.6666911624e-01,1.9540375948e-01,170,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
PL,0032,8.5198506050e+00,1.0375000000e+01,2.7885145835e-01,6.6443922812e-01,1.9279388488e-01,69,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
PL,0032,8.5198506050e+00,1.0625000000e+01,3.9005021492e-01,7.5471139157e-01,1.8233058832e-01,20,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
PL,0032,8.5198506050e+00,1.0875000000e+01,4.1693366087e-01,7.3116563087e-01,1.5711598500e-01,6,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
PL,0032,8.5198506050e+00,1.1125000000e+01,5.4436317847e-01,6.4751187709e-01,5.1574349310e-02,2,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP1,0032,8.5198506050e+00,8.3750000000e+00,3.7440738416e-01,8.2361741325e-01,2.2460501455e-01,184579,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP1,0032,8.5198506050e+00,8.6250000000e+00,3.9827482330e-01,8.1359328260e-01,2.0765922965e-01,118101,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP1,0032,8.5198506050e+00,8.8750000000e+00,4.1013282441e-01,8.0069409880e-01,1.9528063719e-01,63117,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP1,0032,8.5198506050e+00,9.1250000000e+00,4.0832266135e-01,7.8125252081e-01,1.8646492973e-01,32466,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP1,0032,8.5198506050e+00,9.3750000000e+00,4.0926074920e-01,7.6793711780e-01,1.7933818430e-01,16423,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP1,0032,8.5198506050e+00,9.6250000000e+00,4.0054843826e-01,7.5195584649e-01,1.7570370412e-01,7736,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP1,0032,8.5198506050e+00,9.8750000000e+00,3.8828804080e-01,7.3658922210e-01,1.7415059065e-01,3481,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP1,0032,8.5198506050e+00,1.0125000000e+01,3.9028873374e-01,7.2367025450e-01,1.6669076038e-01,1445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP1,0032,8.5198506050e+00,1.0375000000e+01,3.7308056775e-01,7.0978276456e-01,1.6835109841e-01,509,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP1,0032,8.5198506050e+00,1.0625000000e+01,3.7292282230e-01,6.8253444885e-01,1.5480581328e-01,180,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP1,0032,8.5198506050e+00,1.0875000000e+01,4.4666682877e-01,6.6705345953e-01,1.1019331538e-01,48,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP1,0032,8.5198506050e+00,1.1125000000e+01,5.0863555480e-01,8.3045094561e-01,1.6090769540e-01,19,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP1,0032,8.5198506050e+00,1.1375000000e+01,6.6306586898e-01,6.6306586898e-01,0.0000000000e+00,1,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP10,0032,8.5198506050e+00,8.3750000000e+00,1.5985481250e-01,6.0257611143e-01,2.2136064947e-01,73300,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP10,0032,8.5198506050e+00,8.6250000000e+00,1.9898284615e-01,6.0898737362e-01,2.0500226373e-01,39953,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP10,0032,8.5198506050e+00,8.8750000000e+00,2.2514759116e-01,6.1803117399e-01,1.9644179141e-01,18010,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP10,0032,8.5198506050e+00,9.1250000000e+00,2.4020558344e-01,6.1627760792e-01,1.8803601224e-01,7707,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP10,0032,8.5198506050e+00,9.3750000000e+00,2.2868742371e-01,6.3104023724e-01,2.0117640677e-01,3165,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP10,0032,8.5198506050e+00,9.6250000000e+00,2.5787748778e-01,6.3796664685e-01,1.9004457954e-01,1237,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP10,0032,8.5198506050e+00,9.8750000000e+00,2.3162399467e-01,6.3612186744e-01,2.0224893638e-01,440,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP10,0032,8.5198506050e+00,1.0125000000e+01,2.7527672513e-01,6.8339467672e-01,2.0405897579e-01,178,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP10,0032,8.5198506050e+00,1.0375000000e+01,2.4136612061e-01,6.8701753008e-01,2.2282570473e-01,67,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP10,0032,8.5198506050e+00,1.0625000000e+01,3.9240663141e-01,7.4250072034e-01,1.7504704447e-01,16,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP10,0032,8.5198506050e+00,1.0875000000e+01,4.2727444702e-01,6.8870081619e-01,1.3071318459e-01,6,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
BTKP10,0032,8.5198506050e+00,1.1125000000e+01,4.5449025521e-01,6.0167951577e-01,7.3594630280e-02,2,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
